,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed,Screen Size (inch)
2308,489.0,1920.0,1080.0,2.0,240.0,16.0,1.8,17.3
2309,291.0,1280.0,720.0,256.0,120.0,8.0,2.6,14.0
2310,370.8,1280.0,720.0,256.0,480.0,8.0,3.1,14.0
2311,19.95,1920.0,1080.0,256.0,240.0,8.0,0.0,15.6
2312,27.98,1920.0,1080.0,1.0,240.0,1.0,1.66,10.1
2313,225.0,1920.0,1080.0,256.0,256.0,4.0,1.7,15.0
2314,679.0,1920.0,1080.0,256.0,512.0,16.0,0.0,15.6
2315,1012.5,1920.0,1080.0,512.0,512.0,8.0,2.5,15.6
2316,150.0,2160.0,1440.0,256.0,256.0,8.0,1.2,12.0
2317,600.0,1920.0,1080.0,256.0,240.0,8.0,0.0,17.0
2318,60.0,1280.0,800.0,16.0,16.0,4.0,1.8,10.1
2319,100.0,1920.0,1080.0,256.0,240.0,8.0,2.5,14.0
2320,144.9,1920.0,1080.0,256.0,256.0,8.0,2.6,14.0
2321,375.0,1366.0,768.0,256.0,256.0,8.0,1.7,12.0
2322,120.0,1920.0,1080.0,500.0,240.0,8.0,2.6,15.6
2323,35.0,1920.0,1080.0,16.0,16.0,4.0,1.4,11.6
2324,147.0,1920.0,1080.0,750.0,240.0,8.0,2.4,14.0
2325,65.0,1920.0,1080.0,256.0,240.0,4.0,1.6,14.0
2326,99.94,1366.0,768.0,320.0,240.0,8.0,0.0,14.0
2327,313.5,1280.0,720.0,256.0,120.0,8.0,2.7,14.0
2328,302.8,1280.0,720.0,256.0,240.0,8.0,3.0,14.0
2329,375.0,1280.0,720.0,256.0,480.0,8.0,2.6,14.0
2330,69.94,1920.0,1080.0,256.0,64.0,4.0,1.1,14.0
2331,75.94,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2332,400.0,1280.0,1024.0,80.0,240.0,1.0,1.86,14.0
2333,345.0,1920.0,1080.0,512.0,512.0,16.0,1.9,13.3
2334,422.0,1920.0,1080.0,256.0,240.0,8.0,2.8,12.5
2335,600.0,1920.0,1080.0,2.0,2.0,16.0,2.4,17.3
2336,199.9,1920.0,1080.0,64.0,64.0,64.0,0.0,13.0
2337,32.75,1920.0,1080.0,256.0,240.0,8.0,0.0,7.2
2338,289.8,1280.0,720.0,256.0,120.0,8.0,3.0,14.0
2339,284.2,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2340,420.0,1366.0,768.0,1.0,1.0,32.0,1.9,15.6
2341,100.0,1920.0,1080.0,256.0,240.0,8.0,0.0,15.4
2342,327.8,1280.0,720.0,256.0,240.0,8.0,2.6,14.0
2343,38.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2344,172.8,1360.0,768.0,64.0,64.0,4.0,1.1,14.0
2345,345.0,1280.0,720.0,256.0,240.0,8.0,2.7,14.0
2346,188.0,1920.0,1080.0,256.0,256.0,8.0,1.6,14.0
2347,100.0,1920.0,1080.0,500.0,128.0,8.0,2.4,15.6
2348,890.0,1920.0,1080.0,256.0,512.0,32.0,0.0,14.0
2349,230.0,1920.0,1080.0,1.0,1.0,16.0,2.4,14.0
2350,100.0,1920.0,1080.0,64.0,64.0,16.0,2.8,11.0
2351,269.8,1366.0,768.0,256.0,256.0,16.0,1.6,14.0
2352,225.5,1920.0,1080.0,256.0,240.0,8.0,0.0,13.5
2353,13.8,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2354,442.8,1920.0,1080.0,256.0,240.0,8.0,2.8,12.5
2355,392.0,1920.0,1080.0,256.0,240.0,8.0,2.8,14.0
2356,289.8,1920.0,1080.0,81.0,240.0,1.0,1.8,15.4
2357,560.0,1920.0,1080.0,512.0,512.0,16.0,2.8,15.6
2358,88.56,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2359,299.0,1920.0,1080.0,256.0,256.0,8.0,2.1,14.0
2360,749.0,3456.0,2160.0,256.0,512.0,8.0,0.0,13.4
2361,249.0,1920.0,1080.0,256.0,256.0,8.0,1.7,13.3
2362,157.5,1920.0,1080.0,256.0,512.0,12.0,2.4,12.5
2363,173.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2364,433.2,1280.0,720.0,256.0,240.0,8.0,3.0,15.6
2365,700.0,1920.0,1080.0,256.0,512.0,16.0,2.6,15.6
2366,911.0,1920.0,1080.0,256.0,256.0,8.0,1.6,15.6
2367,799.0,1920.0,1200.0,256.0,512.0,16.0,0.0,14.0
2368,273.0,1920.0,1080.0,128.0,128.0,4.0,3.5,15.6
2369,350.0,1920.0,1080.0,512.0,512.0,16.0,1.7,14.0
2370,160.0,1920.0,1080.0,256.0,256.0,8.0,2.6,14.0
2371,90.0,1024.0,768.0,500.0,240.0,4.0,1.6,15.6
2372,129.5,1366.0,768.0,256.0,32.0,4.0,1.1,14.0
2373,250.0,1920.0,1080.0,256.0,256.0,8.0,2.5,15.6
2374,177.1,1920.0,1080.0,128.0,128.0,128.0,0.0,13.5
2375,190.0,1366.0,768.0,256.0,512.0,16.0,2.4,14.0
2376,180.0,1920.0,1080.0,512.0,512.0,16.0,1.9,14.0
2377,87.3,1366.0,768.0,128.0,128.0,4.0,1.1,11.6
2378,247.0,1920.0,1080.0,128.0,128.0,8.0,0.0,14.0
2379,80.0,1920.0,1080.0,256.0,256.0,8.0,2.3,13.3
2380,90.0,1600.0,900.0,256.0,512.0,16.0,3.3,14.0
2381,48.0,1920.0,1080.0,500.0,500.0,4.0,1.9,8.43
2382,220.0,1920.0,1080.0,256.0,512.0,16.0,0.0,14.0
2383,80.0,1366.0,768.0,16.0,16.0,4.0,2.16,14.0
2384,258.0,1920.0,1080.0,128.0,128.0,8.0,2.3,11.6
2385,32.94,1366.0,768.0,256.0,16.0,4.0,1.6,11.6
2386,23.0,1920.0,1080.0,32.0,240.0,4.0,2.4,11.6
2387,29.0,1366.0,768.0,256.0,16.0,4.0,1.1,11.6
2388,370.0,1920.0,1080.0,256.0,256.0,8.0,2.4,15.6
2389,200.0,1920.0,1080.0,256.0,256.0,16.0,1.8,15.6
2390,170.0,1920.0,1080.0,256.0,256.0,12.0,2.4,14.0
2391,370.0,1920.0,1080.0,512.0,512.0,32.0,1.7,14.0
2392,300.0,1920.0,1080.0,256.0,2.0,8.0,3.6,14.0
2393,85.0,1366.0,768.0,16.0,16.0,4.0,2.16,14.0
2394,75.0,1366.0,768.0,32.0,32.0,4.0,2.4,11.6
2395,198.0,2256.0,1504.0,256.0,256.0,8.0,1.7,13.5
2396,70.0,1366.0,768.0,32.0,32.0,4.0,1.6,11.6
2397,316.0,1920.0,1080.0,256.0,256.0,16.0,1.6,14.0
2398,140.0,1920.0,1080.0,256.0,240.0,8.0,0.0,14.1
2399,425.0,1920.0,1200.0,512.0,512.0,16.0,4.7,14.0
2400,50.0,1366.0,768.0,16.0,16.0,4.0,1.4,11.6
2401,150.0,1920.0,1080.0,500.0,128.0,8.0,2.1,14.0
2402,270.0,2736.0,1824.0,256.0,512.0,16.0,1.9,12.3
2403,425.0,1920.0,1080.0,512.0,512.0,16.0,0.0,17.0
2404,30.48,1366.0,768.0,16.0,16.0,4.0,1.6,11.6
2405,440.0,1920.0,1080.0,256.0,1.0,16.0,2.6,15.6
2406,619.0,2560.0,1600.0,512.0,512.0,16.0,0.0,17.0
2407,60.0,1920.0,1080.0,32.0,32.0,4.0,1.6,14.0
2408,393.2,1920.0,1080.0,256.0,480.0,8.0,2.8,14.0
2409,327.8,1280.0,720.0,256.0,240.0,8.0,2.6,14.0
2410,279.5,1280.0,720.0,256.0,240.0,8.0,2.6,14.0
2411,200.0,1920.0,1080.0,256.0,240.0,8.0,2.1,14.0
2412,130.0,1920.0,1080.0,80.0,240.0,1.0,0.0,7.0
2413,265.0,1920.0,1080.0,256.0,240.0,16.0,4.8,13.3
2414,148.0,1920.0,1080.0,128.0,128.0,4.0,1.1,15.6
2415,230.0,2560.0,1440.0,256.0,512.0,16.0,2.6,14.0
2416,345.0,1280.0,720.0,256.0,240.0,8.0,2.7,14.0
2417,255.0,2736.0,1824.0,128.0,128.0,8.0,1.1,12.3
2418,442.8,1920.0,1080.0,256.0,240.0,8.0,2.8,12.5
2419,30.77,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2420,490.0,1920.0,1080.0,1.0,240.0,8.0,0.0,15.6
2421,780.5,1920.0,1080.0,16.0,240.0,16.0,2.6,15.6
2422,250.0,1366.0,768.0,1.0,240.0,16.0,1.6,15.6
2423,49.0,1366.0,768.0,16.0,16.0,4.0,1.4,14.0
2424,1295.0,1920.0,1200.0,256.0,256.0,8.0,2.6,10.1
2425,312.0,1280.0,720.0,256.0,120.0,8.0,2.6,14.0
2426,126.56,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2427,519.5,1366.0,768.0,512.0,512.0,16.0,4.2,14.0
2428,349.0,1920.0,1080.0,256.0,512.0,12.0,1.2,15.6
2429,120.0,1920.0,1080.0,512.0,512.0,8.0,1.8,14.0
2430,100.0,1366.0,768.0,4.0,32.0,4.0,1.1,14.0
2431,499.0,1920.0,1200.0,256.0,256.0,8.0,3.0,14.0
2432,56.0,1366.0,768.0,256.0,32.0,4.0,2.1,11.6
2433,196.1,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2434,138.0,1920.0,1080.0,256.0,240.0,8.0,0.0,17.3
2435,129.0,1366.0,768.0,32.0,240.0,4.0,2.48,11.6
2436,160.0,1920.0,1080.0,8.0,240.0,8.0,0.0,14.0
2437,21.95,1280.0,800.0,500.0,180.0,4.0,2.0,15.4
2438,199.0,1920.0,1080.0,512.0,512.0,16.0,1.7,15.6
2439,190.0,1920.0,1080.0,256.0,256.0,16.0,0.0,15.0
2440,200.0,1366.0,768.0,256.0,240.0,8.0,0.0,11.6
2441,324.0,1280.0,720.0,256.0,240.0,8.0,2.7,14.0
2442,75.0,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2443,177.1,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2444,570.0,2880.0,1920.0,256.0,256.0,16.0,3.0,13.0
2445,154.0,1366.0,768.0,16.0,16.0,4.0,2.8,11.6
2446,189.8,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2447,63.25,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2448,292.2,1280.0,720.0,256.0,120.0,8.0,3.0,14.0
2449,332.8,1920.0,1080.0,256.0,240.0,8.0,0.0,8.43
2450,391.0,1920.0,1080.0,256.0,240.0,8.0,3.5,14.0
2451,714.5,1920.0,1080.0,256.0,256.0,8.0,4.0,15.6
2452,50.0,1920.0,1080.0,256.0,240.0,8.0,0.0,15.0
2453,939.5,1920.0,1080.0,256.0,1.0,32.0,5.0,8.43
2454,115.0,1366.0,768.0,16.0,16.0,4.0,2.16,11.6
2455,300.0,1920.0,1080.0,256.0,256.0,16.0,2.1,8.43
2456,60.0,1920.0,1080.0,256.0,256.0,8.0,0.0,8.43
2457,115.0,1366.0,768.0,32.0,240.0,4.0,1.1,11.6
2458,300.0,1920.0,1080.0,16.0,476.0,16.0,2.1,14.0
2459,279.5,1280.0,720.0,256.0,240.0,8.0,2.6,14.0
