,BRAND,PRICE,GPU,OPERATING_SYSTEM,TOUCHSCREEN,BLUETOOTH,HARD_DRIVE,SSD_CAPACITY,DISPLAY,WEBCAM(BUILT-IN),COLOR
91,dell,209.0,other,unknown,YES,YES,256,240,NO,YES,other
92,lenovo,180.0,other,chrome,NO,NO,16,16,NO,NO,other
93,dell,220.0,intel,windows,NO,NO,500,500,NO,NO,other
94,dell,260.0,other,windows,NO,NO,512,512,NO,NO,other
95,other,59.4,other,unknown,NO,NO,256,240,NO,NO,other
96,other,306.8,intel,unknown,NO,NO,256,240,NO,NO,other
97,lenovo,73.0,other,unknown,NO,NO,256,240,NO,NO,other
98,dell,389.8,intel,windows,NO,NO,256,480,NO,NO,other
99,other,107.44,other,unknown,NO,NO,256,240,NO,NO,other
100,other,1179.0,other,unknown,NO,NO,256,240,NO,NO,other
101,dell,300.0,intel,windows,NO,NO,256,256,NO,NO,black
102,hp,69.0,intel,linux,YES,YES,256,240,NO,YES,multicolor
103,lenovo,244.8,intel,windows,NO,NO,256,256,NO,NO,black
104,other,10.52,other,unknown,NO,YES,256,240,NO,NO,other
105,lenovo,370.0,intel,windows,NO,NO,256,256,NO,NO,black
106,lenovo,270.0,intel,windows,YES,NO,256,256,NO,NO,gray
107,other,64.6,other,unknown,YES,YES,256,240,NO,YES,other
108,other,65.06,other,unknown,NO,NO,256,240,NO,NO,other
109,lenovo,61.6,other,unknown,NO,NO,256,240,NO,NO,other
110,other,26.05,other,unknown,NO,NO,256,240,NO,NO,other
111,dell,384.5,intel,windows,NO,NO,256,480,NO,NO,other
112,other,13.02,other,unknown,NO,NO,256,240,NO,NO,other
113,dell,24.25,other,unknown,NO,NO,256,240,NO,NO,other
114,dell,470.5,intel,windows,NO,NO,256,240,NO,NO,other
115,acer,90.0,intel,windows,YES,YES,128,128,NO,YES,silver
116,other,420.0,other,windows,NO,YES,256,256,YES,YES,other
117,other,7.26,other,unknown,NO,NO,256,240,NO,NO,other
118,dell,199.0,intel,windows,NO,NO,256,128,NO,NO,other
119,microsoft,200.0,intel,windows,NO,NO,256,256,NO,NO,silver
120,hp,390.0,intel,windows,YES,YES,256,256,NO,YES,silver
121,other,582.5,other,unknown,NO,YES,256,240,NO,YES,other
122,other,42.3,other,unknown,NO,NO,256,240,NO,NO,other
123,other,405.5,intel,windows,NO,NO,256,240,NO,NO,other
124,other,298.8,intel,unknown,NO,YES,256,240,NO,YES,other
125,other,81.4,other,unknown,NO,NO,256,240,NO,NO,other
126,other,380.0,other,unknown,NO,NO,256,240,NO,NO,other
127,dell,125.0,other,windows,NO,NO,160,240,NO,NO,black
128,other,111.5,other,unknown,NO,NO,256,240,NO,NO,other
129,other,78.2,other,unknown,NO,NO,256,240,NO,NO,other
130,other,32.56,other,unknown,NO,NO,256,240,NO,NO,other
131,lenovo,250.0,other,windows,NO,NO,256,256,NO,NO,black
132,other,344.5,intel,unknown,NO,NO,256,240,NO,NO,black
133,other,405.5,intel,windows,NO,NO,256,240,NO,NO,other
134,hp,140.0,intel,chrome,NO,YES,64,64,NO,YES,silver
135,hp,759.0,other,windows,NO,YES,256,256,NO,YES,other
136,lenovo,1197.0,intel,windows,NO,YES,256,512,NO,YES,other
137,dell,400.0,other,unknown,NO,YES,256,240,NO,NO,other
138,other,96.56,other,unknown,YES,NO,256,240,NO,NO,other
139,other,26.16,other,unknown,NO,NO,256,240,NO,NO,other
140,other,425.5,intel,unknown,NO,NO,256,240,NO,NO,other
141,lenovo,461.8,intel,windows,NO,NO,500,120,NO,NO,other
142,other,216.0,intel,unknown,NO,YES,256,240,NO,YES,black
143,dell,487.5,intel,windows,NO,NO,256,240,NO,NO,other
144,other,449.2,nvidia,unknown,YES,YES,256,240,NO,YES,black
145,other,487.2,other,unknown,NO,NO,256,240,NO,NO,other
146,other,530.0,intel,unknown,NO,NO,256,240,NO,NO,other
147,other,354.0,intel,unknown,NO,NO,256,240,NO,NO,other
148,other,859.0,intel,unknown,NO,NO,256,240,NO,NO,other
149,other,1724.0,intel,unknown,NO,NO,256,240,NO,NO,other
150,other,812.0,intel,unknown,NO,NO,256,240,NO,NO,other
151,auo,70.3,other,unknown,NO,NO,256,240,NO,NO,other
152,other,22.34,other,unknown,NO,NO,256,240,NO,NO,other
153,other,269.5,other,unknown,NO,NO,256,240,NO,NO,other
154,other,92.1,other,unknown,NO,NO,256,240,NO,NO,other
155,other,240.2,intel,unknown,NO,NO,256,240,NO,NO,other
156,other,357.0,intel,unknown,NO,NO,256,240,NO,NO,black
157,other,436.0,intel,windows,NO,NO,256,240,NO,NO,other
158,dell,144.0,intel,unknown,NO,YES,240,240,NO,YES,other
159,dell,430.2,intel,windows,NO,NO,256,240,NO,NO,black
160,other,276.5,intel,unknown,YES,YES,256,240,NO,YES,other
161,other,165.0,other,unknown,NO,NO,256,240,NO,NO,other
162,dell,323.8,intel,windows,NO,NO,256,120,NO,NO,black
163,other,88.7,other,unknown,NO,YES,256,240,NO,NO,other
164,other,110.06,other,unknown,NO,NO,256,240,NO,NO,other
165,other,475.5,intel,unknown,NO,NO,256,240,NO,NO,other
166,other,48.84,other,unknown,NO,NO,256,240,NO,NO,other
167,other,627.0,intel,unknown,NO,NO,256,240,NO,NO,other
168,dell,443.8,intel,windows,NO,NO,256,240,NO,NO,black
169,other,650.5,intel,unknown,YES,YES,256,240,NO,YES,other
170,other,94.1,other,unknown,NO,NO,256,240,NO,NO,other
171,other,269.2,intel,unknown,NO,NO,256,240,NO,NO,black
172,other,425.2,intel,unknown,NO,NO,256,240,NO,NO,other
173,other,546.5,intel,unknown,NO,NO,256,240,NO,NO,other
174,other,1752.0,intel,unknown,NO,NO,256,240,NO,NO,other
175,other,2108.0,intel,unknown,NO,NO,256,240,NO,NO,black
176,lg,93.75,other,unknown,NO,NO,256,240,NO,NO,other
177,other,81.9,other,unknown,NO,NO,256,240,NO,NO,other
178,other,113.75,other,unknown,NO,NO,256,240,NO,NO,other
179,other,358.8,intel,unknown,NO,NO,256,240,NO,NO,other
180,other,301.5,intel,unknown,NO,NO,256,240,NO,NO,other
181,other,103.2,other,unknown,NO,NO,256,240,NO,NO,other
182,other,108.06,other,unknown,NO,NO,256,240,NO,NO,other
183,other,91.2,other,unknown,NO,NO,256,240,NO,NO,other
184,other,106.56,other,unknown,NO,NO,256,240,NO,NO,other
185,other,85.75,other,unknown,NO,NO,256,240,NO,NO,other
186,lg,93.25,other,unknown,NO,NO,256,240,NO,NO,other
187,other,81.6,other,unknown,NO,NO,256,240,NO,NO,other
