,BRAND,PRICE,GPU,OPERATING_SYSTEM,TOUCHSCREEN,BLUETOOTH,HARD_DRIVE,SSD_CAPACITY,DISPLAY,WEBCAM(BUILT-IN),COLOR
1041,dell,373.8,intel,windows,NO,NO,256,240,NO,NO,other
1042,other,124.1,other,unknown,NO,NO,256,240,NO,NO,other
1043,other,97.5,other,unknown,NO,NO,256,240,NO,NO,other
1044,other,84.1,other,unknown,NO,NO,256,240,NO,NO,other
1045,other,67.06,other,unknown,NO,NO,256,240,NO,NO,other
1046,other,330.5,intel,unknown,NO,NO,256,240,NO,NO,other
1047,other,711.0,intel,unknown,NO,NO,256,240,NO,NO,other
1048,other,35.2,other,unknown,NO,NO,256,240,NO,NO,other
1049,other,341.8,intel,unknown,NO,NO,256,240,NO,NO,other
1050,lg,90.2,other,unknown,NO,NO,256,240,NO,NO,other
1051,other,28.44,other,unknown,NO,NO,256,240,NO,NO,other
1052,other,92.7,other,unknown,NO,NO,256,240,NO,NO,other
1053,other,50.75,other,unknown,NO,NO,256,240,NO,NO,other
1054,dell,470.5,intel,windows,NO,NO,256,240,NO,NO,other
1055,dell,280.0,intel,windows,YES,YES,256,240,NO,YES,other
1056,other,262.2,intel,unknown,NO,NO,256,240,NO,NO,other
1057,lenovo,650.5,intel,windows,NO,NO,256,960,NO,NO,other
1058,other,568.0,intel,unknown,NO,YES,256,240,NO,YES,other
1059,other,99.0,other,unknown,NO,NO,256,240,NO,NO,other
1060,other,863.5,intel,unknown,NO,NO,256,240,NO,NO,other
1061,dell,331.0,intel,windows,NO,NO,256,240,NO,NO,other
1062,other,232.1,other,unknown,NO,NO,256,240,NO,NO,other
1063,other,266.2,intel,unknown,NO,NO,256,240,NO,NO,black
1064,other,47.1,other,unknown,NO,NO,256,240,NO,NO,other
1065,other,425.2,intel,unknown,NO,NO,256,240,NO,NO,other
1066,auo,81.6,other,unknown,NO,NO,256,240,NO,NO,other
1067,other,932.5,intel,unknown,NO,NO,256,240,NO,NO,other
1068,other,135.8,other,unknown,NO,NO,256,240,NO,NO,other
1069,other,1002.5,intel,unknown,NO,NO,256,240,NO,NO,other
1070,lenovo,533.5,intel,windows,NO,NO,256,240,NO,NO,other
1071,dell,303.8,intel,windows,NO,YES,256,240,NO,YES,other
1072,other,273.5,intel,unknown,NO,NO,256,240,NO,NO,other
1073,other,245.5,intel,unknown,NO,NO,256,240,NO,NO,other
1074,lenovo,743.0,intel,windows,NO,NO,256,960,NO,NO,black
1075,other,280.2,other,unknown,NO,NO,256,240,NO,NO,other
1076,other,724.5,intel,unknown,NO,NO,256,240,NO,NO,other
1077,other,151.9,other,unknown,NO,NO,256,240,NO,NO,other
1078,other,463.5,intel,unknown,NO,NO,256,240,NO,NO,black
1079,other,391.5,intel,unknown,NO,NO,256,240,NO,NO,other
1080,other,264.2,intel,unknown,NO,NO,256,240,NO,NO,other
1081,other,93.0,other,unknown,NO,NO,256,240,NO,NO,other
1082,lenovo,726.0,intel,windows,NO,NO,256,960,NO,NO,gray
1083,other,59.28,other,unknown,NO,NO,256,240,NO,YES,other
1084,other,90.06,other,unknown,NO,NO,256,240,NO,NO,other
1085,other,413.2,intel,unknown,NO,NO,256,240,NO,NO,other
1086,other,571.5,intel,unknown,NO,NO,256,240,NO,NO,other
1087,other,921.0,intel,unknown,NO,NO,256,240,NO,NO,other
1088,other,531.0,intel,unknown,NO,NO,256,240,NO,NO,other
1089,other,432.2,intel,unknown,NO,NO,256,240,NO,NO,other
1090,other,134.5,other,unknown,NO,NO,256,240,NO,NO,other
1091,dell,442.0,intel,windows,NO,NO,256,960,NO,NO,black
1092,other,2280.0,intel,windows,NO,NO,256,240,NO,NO,black
1093,dell,1014.5,intel,windows,NO,YES,256,120,NO,YES,black
1094,lenovo,602.0,intel,windows,NO,NO,256,240,NO,YES,black
1095,other,414.8,intel,unknown,NO,NO,256,240,NO,NO,other
1096,other,60.84,other,unknown,NO,NO,256,240,NO,NO,other
1097,other,124.9,other,unknown,NO,NO,256,240,NO,NO,other
1098,other,372.5,intel,unknown,NO,NO,256,240,NO,NO,black
1099,other,315.2,other,unknown,NO,NO,256,240,NO,NO,other
1100,lenovo,751.0,intel,windows,NO,NO,256,240,NO,NO,black
1101,other,542.0,intel,unknown,NO,NO,256,240,NO,YES,other
1102,other,517.0,intel,unknown,NO,NO,256,240,NO,NO,other
1103,other,607.0,intel,unknown,NO,NO,256,240,NO,NO,other
1104,lenovo,465.5,intel,windows,NO,NO,256,240,NO,NO,other
1105,lenovo,772.5,intel,windows,NO,YES,256,480,NO,YES,black
1106,other,168.1,other,unknown,NO,NO,256,240,NO,YES,other
1107,dell,462.8,intel,windows,NO,NO,256,960,NO,NO,black
1108,other,856.5,intel,unknown,NO,YES,256,240,NO,NO,other
1109,other,805.5,intel,unknown,NO,NO,256,240,NO,NO,other
1110,other,525.0,other,unknown,NO,NO,256,240,NO,NO,other
1111,dell,401.8,intel,windows,NO,NO,256,240,NO,NO,other
1112,lenovo,465.5,intel,windows,YES,YES,256,240,NO,YES,other
1113,other,328.8,intel,unknown,NO,YES,256,240,NO,YES,black
1114,other,89.8,other,unknown,NO,NO,256,240,NO,NO,other
1115,other,112.3,other,unknown,NO,NO,256,240,NO,NO,other
1116,samsung,127.8,other,unknown,NO,NO,256,240,NO,NO,other
1117,other,42.2,other,unknown,NO,NO,256,240,NO,NO,other
1118,dell,444.5,intel,windows,NO,NO,256,240,NO,NO,other
1119,other,93.94,other,unknown,YES,YES,256,240,NO,YES,other
1120,lenovo,656.5,intel,windows,NO,NO,256,2,NO,NO,other
1121,other,334.0,other,unknown,NO,YES,256,240,NO,NO,other
1122,other,205.1,other,unknown,NO,NO,256,240,NO,NO,other
1123,other,141.5,other,unknown,NO,NO,256,240,NO,NO,other
1124,other,707.5,intel,windows,NO,NO,256,2,NO,NO,other
1125,other,336.2,nvidia,unknown,NO,YES,256,240,NO,YES,other
1126,dell,129.6,intel,unknown,NO,NO,256,256,NO,NO,black
1127,other,58.97,other,unknown,NO,YES,256,240,NO,YES,other
1128,dell,334.5,intel,windows,NO,NO,256,120,NO,NO,other
1129,lg,94.0,other,unknown,NO,NO,256,240,NO,NO,other
1130,lenovo,323.0,intel,windows,NO,NO,256,240,NO,NO,other
1131,dell,280.0,intel,windows,NO,NO,256,240,NO,YES,other
1132,hp,119.06,other,unknown,NO,NO,256,240,NO,NO,other
1133,other,22.0,other,unknown,NO,NO,256,240,NO,NO,other
1134,lg,90.44,other,unknown,NO,NO,256,240,NO,NO,other
1135,dell,499.0,intel,windows,NO,NO,256,2,NO,NO,other
1136,other,87.56,other,unknown,NO,NO,256,240,NO,NO,other
1137,other,49.62,other,unknown,NO,NO,256,240,NO,NO,other
1138,other,82.2,other,unknown,NO,NO,256,240,NO,NO,other
1139,auo,69.25,other,unknown,NO,NO,256,240,NO,NO,other
1140,dell,463.2,intel,windows,NO,NO,256,480,NO,NO,other
1141,lg,95.3,other,unknown,YES,YES,256,240,NO,YES,other
1142,lenovo,427.2,intel,windows,NO,NO,256,120,NO,NO,other
1143,other,104.6,other,unknown,NO,YES,256,240,NO,YES,other
1144,other,264.2,intel,unknown,NO,NO,256,240,NO,NO,other
1145,auo,75.2,other,unknown,NO,NO,256,240,NO,NO,other
1146,other,205.2,other,unknown,NO,NO,256,240,NO,NO,other
1147,auo,61.12,other,unknown,NO,NO,256,240,NO,NO,other
1148,dell,451.5,intel,windows,NO,NO,256,240,NO,NO,black
1149,dell,339.8,intel,windows,YES,YES,256,240,NO,YES,other
1150,acer,27.77,other,unknown,NO,NO,256,240,NO,NO,other
1151,other,329.8,other,unknown,NO,NO,256,240,NO,NO,other
1152,dell,469.0,intel,windows,NO,NO,256,960,NO,NO,other
1153,other,206.1,other,unknown,NO,NO,256,240,NO,NO,other
1154,other,258.2,intel,unknown,NO,NO,256,240,NO,NO,other
1155,dell,444.5,intel,windows,NO,NO,256,240,NO,NO,other
1156,lenovo,636.5,intel,windows,YES,YES,256,240,NO,YES,black
1157,other,226.9,intel,unknown,YES,YES,256,240,NO,YES,other
1158,other,628.0,intel,unknown,NO,NO,256,240,NO,NO,other
1159,lenovo,584.5,other,unknown,NO,NO,256,240,NO,NO,black
1160,other,157.2,other,unknown,NO,NO,256,240,NO,NO,other
1161,other,105.0,other,unknown,NO,NO,256,240,NO,NO,other
1162,other,341.5,intel,unknown,NO,NO,256,240,NO,NO,black
1163,other,523.5,intel,unknown,NO,NO,256,240,NO,NO,other
1164,other,475.8,other,unknown,NO,NO,256,240,NO,NO,other
1165,other,50.78,other,unknown,NO,NO,256,240,NO,NO,other
1166,lenovo,462.8,intel,windows,NO,NO,256,120,NO,NO,black
1167,dell,335.8,nvidia,windows,NO,NO,256,240,NO,YES,other
1168,other,541.0,intel,unknown,NO,NO,256,240,NO,NO,other
1169,other,473.8,intel,windows,NO,NO,256,480,NO,NO,black
1170,other,100.0,other,unknown,NO,YES,256,240,NO,YES,other
1171,lg,69.75,other,unknown,NO,NO,256,240,NO,NO,other
1172,other,303.8,nvidia,unknown,NO,NO,256,240,NO,NO,black
1173,other,463.5,other,unknown,NO,NO,256,240,NO,NO,other
1174,other,818.0,intel,unknown,NO,NO,256,240,NO,NO,other
1175,lenovo,433.5,intel,windows,NO,NO,256,120,NO,NO,other
1176,dell,437.2,intel,windows,NO,YES,256,960,NO,YES,other
1177,dell,424.8,intel,windows,NO,NO,256,120,NO,NO,black
1178,lg,93.44,other,unknown,YES,YES,256,240,NO,YES,other
1179,dell,423.5,intel,windows,NO,NO,256,240,NO,NO,other
1180,other,355.0,intel,unknown,YES,YES,256,240,NO,YES,black
1181,lg,132.8,other,unknown,NO,NO,256,240,NO,NO,other
1182,other,133.1,other,unknown,NO,NO,256,240,NO,NO,other
1183,auo,74.56,other,unknown,NO,NO,256,240,NO,NO,other
1184,lenovo,454.0,intel,windows,NO,NO,256,120,NO,NO,other
1185,other,131.6,other,unknown,NO,YES,256,240,NO,YES,other
1186,other,109.9,other,unknown,NO,NO,256,240,NO,NO,other
1187,other,71.25,other,unknown,NO,NO,256,240,NO,NO,other
1188,dell,427.0,intel,windows,NO,NO,256,240,NO,NO,other
1189,other,405.2,intel,unknown,NO,NO,256,240,NO,NO,other
1190,other,564.5,intel,windows,NO,NO,256,960,NO,NO,black
1191,other,86.3,other,unknown,NO,YES,256,240,NO,NO,other
1192,other,346.2,intel,unknown,NO,NO,256,240,NO,NO,other
1193,other,397.8,intel,windows,NO,NO,256,240,NO,NO,black
1194,auo,71.44,other,unknown,NO,YES,256,240,NO,YES,other
1195,lg,127.8,other,unknown,NO,NO,256,240,NO,NO,other
1196,dell,345.2,intel,windows,NO,NO,256,240,NO,NO,other
1197,dell,422.8,intel,windows,NO,NO,256,240,NO,NO,other
1198,dell,72.0,other,unknown,YES,YES,256,240,NO,YES,other
1199,other,591.0,intel,unknown,NO,NO,256,240,NO,NO,black
1200,other,86.75,other,unknown,NO,NO,256,240,NO,NO,other
1201,other,445.8,intel,unknown,NO,NO,256,240,NO,NO,other
1202,other,633.0,intel,unknown,NO,NO,256,240,NO,NO,black
1203,other,314.8,other,unknown,NO,NO,256,240,NO,NO,other
1204,other,278.8,intel,unknown,NO,NO,256,240,NO,NO,other
1205,lenovo,519.5,intel,windows,NO,NO,256,240,NO,NO,black
1206,other,396.0,intel,unknown,NO,YES,256,240,NO,YES,other
1207,other,552.5,intel,unknown,NO,NO,256,240,NO,NO,other
1208,other,10.85,other,unknown,NO,NO,256,240,NO,NO,other
1209,other,412.0,intel,windows,NO,NO,256,480,NO,NO,gray
1210,other,458.8,intel,unknown,NO,YES,256,240,NO,YES,other
1211,lenovo,497.2,intel,windows,NO,NO,256,480,NO,NO,other
1212,dell,321.2,nvidia,windows,NO,YES,256,120,NO,YES,other
1213,other,512.5,intel,unknown,NO,NO,256,240,NO,NO,other
1214,lenovo,458.0,intel,windows,NO,NO,256,240,NO,NO,black
1215,dell,462.8,intel,windows,NO,YES,500,500,NO,YES,gray
1216,dell,378.5,intel,windows,YES,YES,256,256,NO,YES,black
1217,other,378.5,other,unknown,NO,NO,256,240,NO,NO,other
1218,other,466.8,intel,unknown,NO,NO,256,240,NO,NO,other
1219,other,204.5,other,unknown,NO,NO,256,240,NO,NO,other
1220,dell,379.2,intel,windows,NO,NO,256,240,NO,NO,black
1221,other,487.2,intel,unknown,NO,NO,256,240,NO,NO,other
1222,lenovo,538.5,intel,windows,NO,NO,256,120,NO,NO,gray
1223,other,2326.0,intel,windows,NO,YES,256,2,NO,YES,other
1224,other,571.5,other,unknown,NO,YES,256,240,NO,YES,other
1225,other,90.75,other,unknown,NO,NO,256,240,NO,NO,other
1226,lenovo,453.8,intel,windows,NO,NO,128,128,NO,NO,other
1227,other,453.8,intel,unknown,NO,NO,256,240,NO,NO,other
1228,lenovo,590.0,intel,windows,NO,NO,256,960,NO,NO,black
1229,dell,110.0,other,windows,NO,YES,256,128,NO,YES,black
1230,lenovo,458.0,intel,windows,NO,NO,256,240,NO,NO,black
1231,dell,284.8,other,windows,NO,YES,256,256,NO,YES,black
1232,other,265.8,other,unknown,NO,YES,256,240,NO,YES,other
1233,other,317.8,other,unknown,NO,NO,256,240,NO,NO,other
1234,other,110.0,other,unknown,NO,NO,256,240,NO,NO,other
1235,lenovo,578.0,intel,windows,NO,NO,256,120,NO,NO,other
1236,lenovo,619.0,intel,windows,YES,YES,256,480,NO,NO,black
1237,other,121.6,other,unknown,YES,YES,256,240,NO,NO,other
1238,other,78.1,other,unknown,NO,NO,256,240,NO,NO,other
1239,other,282.5,intel,unknown,NO,NO,256,240,NO,NO,other
1240,dell,299.8,intel,windows,NO,NO,250,240,NO,NO,other
1241,dell,377.2,intel,windows,NO,YES,256,240,NO,YES,black
1242,dell,414.2,intel,windows,NO,NO,256,480,NO,NO,black
1243,dell,534.0,amd,windows,NO,YES,256,480,NO,NO,other
1244,lenovo,200.0,intel,windows,NO,YES,512,512,NO,YES,black
1245,dell,775.5,amd,windows,NO,YES,256,2,NO,YES,silver
1246,other,11.94,other,unknown,NO,NO,256,240,NO,YES,other
1247,other,216.0,intel,unknown,NO,NO,256,240,NO,NO,other
1248,other,123.5,other,unknown,NO,NO,256,240,NO,NO,other
1249,lenovo,442.8,intel,windows,NO,NO,256,240,NO,NO,other
1250,lenovo,519.0,intel,windows,NO,YES,256,120,NO,YES,black
1251,other,112.44,other,unknown,NO,NO,256,240,NO,NO,other
1252,lg,92.6,other,unknown,NO,NO,256,240,NO,NO,other
1253,other,304.5,other,unknown,NO,NO,256,240,NO,NO,other
1254,dell,282.8,intel,windows,NO,NO,256,240,NO,NO,other
1255,lg,92.9,other,unknown,NO,NO,256,240,NO,NO,other
1256,dell,494.2,intel,windows,NO,NO,256,960,NO,NO,other
1257,acer,21.88,other,unknown,NO,NO,256,240,NO,NO,other
1258,other,140.2,other,unknown,NO,NO,256,240,NO,NO,other
1259,other,163.5,other,unknown,NO,NO,256,240,NO,NO,other
1260,lenovo,624.0,intel,windows,NO,NO,256,240,NO,NO,gray
1261,other,473.8,intel,unknown,NO,NO,256,240,NO,YES,other
1262,other,470.5,intel,unknown,NO,NO,256,240,NO,NO,other
1263,other,358.5,intel,windows,NO,NO,256,256,NO,NO,other
1264,dell,281.2,intel,windows,NO,NO,256,240,NO,YES,other
1265,other,57.88,other,unknown,NO,NO,256,240,NO,NO,other
1266,other,319.0,intel,unknown,NO,NO,256,240,NO,NO,other
1267,acer,64.9,other,unknown,NO,NO,256,240,NO,NO,other
1268,lenovo,565.0,intel,windows,NO,NO,256,240,NO,NO,gray
1269,other,1717.0,intel,unknown,NO,YES,256,240,NO,YES,other
1270,other,960.0,intel,unknown,NO,NO,256,240,NO,NO,other
1271,acer,21.64,other,unknown,NO,NO,256,240,NO,NO,other
1272,other,996.5,intel,unknown,NO,NO,256,240,NO,NO,other
1273,dell,390.0,intel,windows,NO,NO,256,240,NO,NO,other
1274,other,389.0,other,unknown,NO,NO,256,240,NO,NO,other
1275,other,307.0,intel,unknown,NO,NO,256,240,NO,NO,black
1276,dell,396.8,intel,windows,NO,NO,256,120,NO,NO,other
1277,auo,95.56,other,unknown,YES,YES,256,240,NO,YES,other
1278,lenovo,188.8,intel,windows,NO,NO,256,256,NO,NO,other
1279,auo,114.5,other,unknown,YES,YES,256,240,YES,YES,other
1280,other,242.5,intel,unknown,NO,NO,256,240,NO,NO,other
1281,other,650.5,other,unknown,NO,NO,256,240,NO,NO,other
1282,other,324.5,other,unknown,NO,NO,256,240,NO,NO,other
1283,other,1758.0,intel,unknown,NO,NO,256,240,NO,NO,other
1284,other,394.8,intel,unknown,NO,NO,256,240,NO,NO,other
1285,other,161.9,other,unknown,NO,NO,256,240,NO,NO,other
1286,other,461.8,intel,unknown,NO,NO,256,240,NO,NO,other
1287,other,506.8,intel,unknown,NO,NO,256,240,NO,NO,other
1288,dell,80.0,other,windows,NO,NO,500,500,NO,NO,other
1289,acer,60.0,other,chrome,NO,NO,32,32,NO,NO,silver
1290,samsung,47.0,intel,chrome,NO,YES,16,16,YES,YES,black
1291,microsoft,107.56,other,unknown,NO,YES,64,240,NO,YES,other
1292,lenovo,100.0,intel,windows,NO,NO,500,240,NO,NO,black
1293,lenovo,99.94,other,windows,NO,NO,256,256,NO,YES,black
1294,dell,450.0,other,chrome,NO,NO,32,32,NO,NO,other
1295,microsoft,175.0,intel,unknown,YES,NO,128,128,NO,NO,silver
1296,other,593.0,other,mac,YES,YES,256,512,YES,YES,other
1297,dell,140.0,intel,windows,NO,NO,500,240,NO,NO,black
1298,microsoft,69.6,other,unknown,NO,NO,256,256,NO,NO,other
1299,dell,335.0,intel,windows,NO,YES,512,512,NO,YES,black
1300,dell,79.0,other,windows,YES,YES,250,250,YES,YES,other
1301,hp,39.97,other,unknown,NO,NO,256,240,NO,NO,other
1302,hp,49.0,intel,chrome,NO,NO,1,16,NO,NO,grey
1303,dell,73.0,other,windows,NO,YES,500,500,YES,YES,other
1304,dell,149.0,intel,windows,NO,NO,256,128,NO,NO,silver
1305,other,2378.0,nvidia,windows,NO,NO,1,1,NO,NO,black
1306,dell,22.55,other,unknown,NO,YES,256,240,NO,YES,other
1307,lenovo,500.0,amd,windows,NO,NO,256,256,NO,NO,black
1308,asus,70.0,intel,windows,NO,NO,750,240,NO,YES,black
1309,lg,990.0,intel,windows,NO,YES,256,1,NO,YES,black
1310,acer,230.0,intel,chrome,NO,YES,16,128,NO,YES,gray
1311,acer,118.1,other,windows,YES,NO,256,128,NO,NO,other
1312,lenovo,320.0,intel,windows,YES,NO,512,512,NO,YES,gray
1313,dell,75.0,other,windows,YES,YES,500,500,NO,YES,other
1314,other,100.0,other,unknown,NO,NO,256,128,NO,NO,other
1315,hp,75.0,other,windows,NO,NO,320,240,NO,NO,other
1316,other,164.5,intel,windows,NO,YES,120,120,NO,NO,other
1317,dell,350.0,intel,windows,NO,NO,256,512,NO,YES,gray
1318,dell,399.0,other,unknown,NO,NO,512,512,NO,NO,other
1319,hp,100.0,intel,windows,NO,NO,500,500,NO,NO,gray
1320,hp,200.0,intel,chrome,YES,NO,64,64,NO,NO,silver
1321,dell,115.0,intel,windows,YES,NO,256,256,NO,NO,black
1322,dell,399.0,intel,unknown,NO,YES,512,512,NO,YES,black
1323,microsoft,93.0,other,windows,YES,YES,128,128,NO,YES,silver
1324,dell,16.3,other,unknown,YES,YES,256,240,NO,YES,other
1325,hp,180.0,other,windows,NO,NO,256,256,NO,NO,black
1326,dell,70.0,other,unknown,NO,YES,256,240,NO,YES,gray
1327,microsoft,725.0,other,windows,NO,NO,256,256,NO,NO,other
1328,dell,29.89,other,chrome,NO,NO,16,16,NO,NO,black
1329,acer,38.0,intel,chrome,NO,NO,16,240,NO,NO,gray
1330,hp,184.1,other,windows,YES,YES,256,256,NO,YES,other
1331,hp,157.8,intel,windows,NO,NO,500,500,NO,NO,purple
1332,other,396.0,intel,unknown,NO,YES,256,240,YES,NO,other
1333,lenovo,74.3,other,unknown,NO,NO,256,240,NO,NO,other
1334,asus,74.44,other,unknown,NO,NO,256,240,NO,NO,other
1335,lg,109.9,other,unknown,NO,NO,256,240,NO,NO,other
1336,other,574.5,intel,unknown,NO,NO,256,240,NO,NO,other
1337,auo,89.8,other,unknown,NO,NO,256,240,NO,NO,other
1338,samsung,135.5,other,unknown,NO,NO,256,240,NO,NO,other
1339,acer,22.22,other,unknown,NO,NO,256,240,NO,NO,other
1340,other,20.44,other,unknown,NO,NO,256,240,NO,NO,other
1341,other,204.5,intel,unknown,NO,NO,256,240,NO,NO,other
1342,lenovo,376.0,intel,windows,NO,NO,256,480,NO,NO,other
1343,other,104.7,other,unknown,NO,YES,256,240,NO,NO,other
1344,auo,93.9,other,unknown,NO,NO,256,240,NO,NO,other
1345,dell,433.0,intel,windows,NO,NO,256,960,NO,NO,other
1346,other,254.2,other,unknown,NO,NO,256,240,NO,NO,other
1347,samsung,59.2,other,unknown,NO,NO,256,240,NO,NO,other
1348,other,184.5,other,unknown,NO,NO,256,240,NO,NO,other
1349,other,225.0,other,windows,NO,NO,256,256,NO,NO,gray
1350,lenovo,419.5,intel,windows,NO,YES,256,128,NO,YES,other
1351,dell,334.0,nvidia,windows,NO,YES,256,240,NO,YES,other
1352,other,56.56,other,unknown,NO,NO,256,240,NO,NO,other
1353,other,105.44,other,unknown,NO,NO,256,240,NO,NO,other
1354,samsung,114.5,other,unknown,NO,NO,256,240,NO,NO,other
1355,other,101.94,other,unknown,NO,NO,256,240,NO,NO,other
1356,other,91.9,other,unknown,NO,NO,256,240,NO,NO,other
1357,dell,314.5,intel,windows,NO,NO,256,240,NO,NO,other
1358,other,107.6,other,unknown,NO,YES,256,240,NO,NO,other
1359,other,2680.0,intel,unknown,NO,NO,256,240,NO,NO,black
1360,samsung,89.8,other,unknown,NO,NO,256,240,NO,NO,other
1361,dell,462.8,nvidia,windows,NO,NO,256,960,NO,NO,black
1362,other,85.4,other,unknown,NO,NO,256,240,NO,NO,other
1363,dell,414.8,intel,windows,NO,NO,256,120,NO,NO,other
1364,other,1533.0,intel,unknown,YES,YES,256,240,NO,YES,other
1365,other,770.5,intel,windows,NO,NO,256,240,NO,NO,other
1366,dell,580.5,intel,windows,YES,YES,256,480,NO,YES,other
1367,dell,339.5,intel,windows,YES,YES,256,120,NO,YES,black
1368,other,82.8,other,unknown,NO,NO,256,240,NO,NO,other
1369,other,247.4,intel,unknown,NO,NO,256,240,NO,NO,black
1370,other,548.5,intel,unknown,NO,NO,256,240,NO,NO,other
1371,other,494.8,intel,unknown,NO,NO,256,240,NO,NO,black
1372,other,511.2,intel,unknown,NO,NO,256,240,NO,NO,other
1373,other,227.8,intel,unknown,NO,NO,256,240,NO,NO,other
1374,dell,511.8,intel,windows,NO,NO,256,480,NO,NO,black
1375,other,113.6,other,unknown,YES,YES,256,240,NO,YES,other
1376,other,375.8,other,unknown,NO,NO,256,240,NO,NO,other
1377,lenovo,483.0,intel,windows,NO,NO,256,120,NO,NO,other
1378,other,43.25,other,unknown,NO,NO,256,240,NO,YES,other
1379,other,778.5,intel,unknown,NO,NO,256,240,NO,NO,other
1380,other,440.2,other,unknown,NO,NO,256,240,NO,NO,other
1381,other,429.0,intel,unknown,NO,NO,256,240,NO,NO,other
1382,dell,444.2,intel,windows,NO,NO,256,960,NO,NO,other
1383,other,537.5,intel,unknown,NO,YES,256,240,NO,NO,other
1384,auo,115.7,other,unknown,NO,NO,256,240,NO,NO,other
1385,lenovo,572.0,intel,windows,NO,NO,256,120,NO,NO,black
1386,lenovo,571.0,intel,windows,YES,YES,256,480,NO,NO,black
1387,other,777.5,intel,unknown,YES,YES,256,240,NO,NO,other
1388,dell,377.2,nvidia,windows,NO,NO,256,240,NO,NO,black
1389,other,589.0,intel,unknown,NO,NO,256,240,NO,NO,other
1390,other,225.0,other,windows,NO,NO,512,512,NO,NO,black
1391,other,274.5,intel,unknown,NO,YES,256,240,YES,YES,other
1392,other,442.8,intel,windows,NO,NO,256,120,NO,NO,other
1393,other,514.5,intel,unknown,NO,NO,256,240,NO,YES,other
1394,other,21.88,other,unknown,NO,NO,256,240,NO,NO,other
1395,other,536.5,intel,unknown,NO,NO,256,240,NO,NO,black
1396,lenovo,829.5,intel,windows,NO,NO,256,2,NO,NO,gray
1397,other,739.5,intel,unknown,NO,YES,256,240,NO,YES,other
1398,other,158.6,other,unknown,NO,NO,256,240,NO,NO,other
1399,dell,370.5,intel,windows,NO,NO,256,120,NO,NO,other
1400,other,842.5,intel,unknown,NO,NO,256,240,NO,YES,other
1401,other,203.0,other,unknown,NO,NO,256,240,NO,NO,other
1402,other,968.0,intel,unknown,NO,NO,256,240,NO,NO,other
1403,other,203.1,other,unknown,NO,NO,256,240,NO,NO,other
1404,other,1093.0,intel,unknown,NO,NO,256,240,NO,NO,other
1405,samsung,114.5,other,unknown,NO,NO,256,240,NO,NO,other
1406,dell,545.0,intel,windows,NO,NO,256,2,NO,NO,black
1407,other,198.6,other,unknown,NO,NO,256,240,NO,NO,other
1408,other,339.0,intel,unknown,NO,NO,256,240,NO,NO,black
1409,other,360.5,intel,unknown,NO,NO,256,240,NO,NO,other
1410,other,593.0,intel,unknown,NO,NO,256,240,NO,NO,black
1411,other,303.8,intel,unknown,NO,NO,256,240,NO,NO,other
1412,lenovo,613.5,intel,windows,NO,NO,256,240,NO,NO,black
1413,other,406.0,intel,windows,NO,NO,256,120,NO,NO,black
1414,other,371.8,intel,unknown,NO,YES,256,240,NO,NO,other
1415,other,559.0,intel,unknown,NO,NO,256,240,NO,NO,other
1416,other,766.5,intel,unknown,NO,NO,256,240,NO,NO,other
1417,dell,313.8,intel,windows,NO,NO,256,240,NO,NO,black
1418,dell,451.5,intel,windows,NO,NO,256,240,NO,NO,black
1419,other,335.8,intel,unknown,YES,YES,256,240,NO,YES,other
1420,other,463.5,intel,unknown,NO,NO,256,240,NO,NO,other
1421,dell,641.5,amd,windows,NO,NO,256,960,NO,NO,other
1422,other,436.0,intel,windows,NO,YES,256,240,NO,YES,other
1423,other,633.0,intel,unknown,NO,YES,256,240,NO,YES,other
1424,other,117.06,other,unknown,NO,NO,256,240,NO,NO,other
1425,lenovo,580.5,intel,windows,NO,NO,256,480,NO,NO,other
1426,other,645.5,intel,unknown,NO,YES,256,240,NO,YES,other
1427,other,1666.0,nvidia,unknown,NO,NO,256,240,NO,NO,other
1428,other,820.5,intel,unknown,NO,NO,256,240,NO,NO,other
1429,other,845.5,intel,unknown,NO,NO,256,240,NO,NO,other
1430,other,182.2,amd,unknown,NO,NO,256,240,NO,NO,other
1431,dell,439.0,intel,windows,NO,NO,256,120,NO,NO,other
1432,other,341.5,intel,unknown,YES,YES,256,240,NO,YES,other
1433,other,896.0,intel,unknown,NO,NO,256,240,NO,NO,other
1434,other,98.4,other,unknown,NO,NO,256,240,NO,NO,other
1435,other,1748.0,nvidia,unknown,NO,NO,256,240,NO,NO,other
1436,other,66.56,other,unknown,NO,NO,256,240,NO,NO,other
1437,dell,380.2,intel,windows,NO,NO,256,960,NO,NO,black
1438,other,3860.0,intel,unknown,NO,NO,256,240,NO,NO,other
1439,other,289.0,other,windows,NO,NO,512,512,NO,NO,silver
1440,samsung,48.0,other,chrome,NO,YES,2,16,NO,YES,silver
1441,microsoft,56.94,other,unknown,NO,NO,256,256,NO,NO,other
1442,dell,93.0,intel,windows,NO,YES,64,64,NO,YES,black
1443,microsoft,699.0,intel,windows,YES,NO,256,256,NO,NO,silver
1444,dell,235.0,nvidia,windows,YES,YES,256,512,NO,YES,black
1445,dell,188.0,other,unknown,NO,YES,256,2,YES,YES,black
1446,lenovo,52.0,other,linux,NO,YES,16,16,NO,YES,black
1447,other,152.2,other,unknown,NO,NO,256,240,NO,NO,other
