,Touchscreen,Bluetooth,Webcam(Built-In),Microphone(Built-In),Display,WiFi
157,NO,NO,NO,NO,NO,NO
158,NO,YES,YES,NO,NO,YES
159,NO,NO,NO,NO,NO,NO
160,YES,YES,YES,NO,NO,YES
161,NO,NO,NO,NO,NO,NO
162,NO,NO,NO,NO,NO,NO
163,NO,YES,NO,NO,NO,YES
164,NO,NO,NO,NO,NO,NO
165,NO,NO,NO,NO,NO,NO
166,NO,NO,NO,NO,NO,NO
167,NO,NO,NO,NO,NO,NO
168,NO,NO,NO,NO,NO,NO
169,YES,YES,YES,NO,NO,YES
170,NO,NO,NO,NO,NO,NO
171,NO,NO,NO,NO,NO,NO
172,NO,NO,NO,NO,NO,NO
173,NO,NO,NO,NO,NO,NO
174,NO,NO,NO,NO,NO,NO
175,NO,NO,NO,NO,NO,NO
176,NO,NO,NO,NO,NO,NO
177,NO,NO,NO,NO,NO,NO
178,NO,NO,NO,NO,NO,NO
179,NO,NO,NO,NO,NO,NO
180,NO,NO,NO,NO,NO,NO
181,NO,NO,NO,NO,NO,NO
182,NO,NO,NO,NO,NO,NO
183,NO,NO,NO,NO,NO,NO
184,NO,NO,NO,NO,NO,NO
185,NO,NO,NO,NO,NO,NO
186,NO,NO,NO,NO,NO,NO
187,NO,NO,NO,NO,NO,NO
188,NO,NO,NO,NO,NO,NO
189,NO,NO,NO,NO,NO,NO
190,NO,NO,NO,NO,NO,NO
191,NO,NO,NO,NO,NO,NO
192,NO,YES,YES,NO,NO,YES
193,NO,NO,NO,NO,NO,NO
194,NO,YES,YES,NO,NO,YES
195,NO,NO,NO,NO,NO,NO
196,NO,NO,NO,NO,NO,NO
197,NO,NO,NO,NO,NO,YES
198,NO,NO,NO,NO,NO,NO
199,NO,YES,NO,NO,NO,YES
200,YES,YES,NO,NO,NO,YES
201,NO,NO,NO,NO,NO,NO
202,NO,YES,YES,NO,NO,YES
203,NO,NO,NO,NO,NO,NO
204,NO,NO,NO,NO,NO,NO
205,NO,NO,NO,NO,NO,NO
206,NO,NO,NO,NO,NO,NO
207,NO,NO,NO,NO,NO,NO
208,NO,NO,NO,NO,NO,NO
209,NO,NO,NO,NO,NO,NO
210,NO,NO,NO,NO,NO,NO
211,NO,NO,NO,NO,NO,NO
212,NO,NO,NO,NO,NO,NO
213,NO,NO,NO,NO,NO,NO
214,NO,NO,NO,NO,NO,NO
215,NO,NO,NO,NO,NO,NO
216,NO,NO,NO,NO,NO,NO
217,NO,NO,NO,NO,NO,NO
218,NO,NO,NO,NO,NO,NO
219,NO,NO,NO,NO,NO,NO
220,NO,NO,NO,NO,NO,NO
221,NO,NO,NO,NO,NO,NO
222,NO,NO,NO,NO,NO,NO
223,NO,NO,NO,NO,NO,NO
224,NO,NO,NO,NO,NO,NO
225,NO,NO,NO,NO,NO,NO
226,NO,NO,NO,NO,NO,NO
227,NO,NO,NO,NO,NO,NO
228,NO,NO,NO,NO,NO,NO
229,NO,NO,NO,NO,NO,NO
230,NO,NO,NO,NO,NO,NO
231,NO,YES,YES,NO,NO,YES
232,NO,NO,NO,NO,NO,NO
233,NO,NO,NO,NO,NO,NO
234,NO,NO,NO,NO,NO,NO
235,NO,NO,NO,NO,NO,YES
236,NO,NO,NO,NO,NO,NO
237,NO,NO,NO,NO,NO,NO
238,NO,NO,NO,NO,NO,NO
239,NO,NO,NO,NO,NO,NO
240,NO,NO,NO,NO,NO,NO
241,NO,NO,NO,NO,NO,NO
242,NO,NO,NO,NO,NO,NO
243,NO,NO,NO,NO,NO,NO
244,NO,NO,NO,NO,NO,NO
245,NO,NO,YES,NO,NO,NO
246,NO,NO,NO,NO,NO,NO
247,NO,NO,NO,NO,NO,NO
248,NO,NO,NO,NO,NO,NO
249,NO,NO,NO,NO,NO,YES
250,NO,NO,NO,NO,NO,YES
251,NO,NO,NO,NO,NO,NO
252,NO,YES,YES,NO,NO,YES
253,NO,NO,NO,NO,NO,NO
254,NO,NO,NO,NO,NO,NO
255,NO,NO,NO,NO,NO,NO
256,NO,NO,NO,NO,NO,NO
257,YES,YES,YES,NO,NO,YES
258,NO,YES,YES,NO,NO,YES
259,NO,NO,NO,NO,NO,NO
260,NO,NO,NO,NO,NO,NO
261,NO,NO,NO,NO,NO,NO
262,NO,NO,NO,NO,NO,NO
263,NO,NO,NO,NO,NO,NO
264,NO,NO,NO,NO,NO,NO
265,NO,NO,NO,NO,NO,NO
266,NO,YES,NO,NO,NO,YES
