,Price,Width of the Display,Height of the Display,Hard Drive Capacity,SSD Capacity,Ram Size,Processor Speed
349,60.06,,,,,,
350,93.9,,,,,,
351,113.25,,,,,,
352,32.44,,,,,,
353,46.06,,,,,,
354,336.2,,,,,,
355,426.0,,,,,,
356,303.8,,,,,,
357,63.7,,,,,,
358,460.0,,,,,,
359,380.0,,,,,,
360,394.0,1280.0,720.0,,240.0,,3.00
361,75.94,,,,,,
362,203.8,,,,,,
363,81.6,,,,,,
364,85.25,,,,,,
365,319.5,1920.0,1080.0,,240.0,,3.10
366,3156.0,,,,,,
367,339.5,,,,,,
368,440.2,,,,,,
369,381.5,1280.0,720.0,,480.0,,3.00
370,314.5,1280.0,720.0,,240.0,,2.60
371,408.2,1280.0,720.0,,480.0,,2.60
372,91.3,,,,,,
373,481.0,,,,,,
374,222.9,,,,,,
375,128.5,,,,,,
376,408.5,,,,,,
377,488.8,,,,,,
378,28.98,,,,,,
379,94.4,,,,,,
380,125.94,,,,,,
381,361.8,,,,,,
382,130.0,,,,,,
383,2130.0,1920.0,1080.0,,120.0,,1.80
384,462.8,1280.0,720.0,,960.0,,2.60
385,105.0,,,,,,
386,2270.0,,,,,,
387,26.52,,,,,,
388,1701.0,1920.0,1080.0,,4.0,,4.00
389,477.8,1280.0,720.0,,960.0,,2.70
390,117.44,,,,,,
391,55.12,,,,,,
392,104.7,,,,,,
393,28.8,,,,,,
394,50.78,,,,,,
395,84.9,,,,,,
396,721.0,,,,,,
397,607.0,1920.0,1080.0,,256.0,,3.40
398,416.2,1280.0,720.0,,480.0,,2.30
399,737.0,,,,,,
400,90.06,1366.0,768.0,,,,
401,64.0,,,,,,
402,48.66,,,,,,
403,92.1,,,,,,
404,485.8,1280.0,720.0,,2.0,,3.10
405,462.0,1280.0,720.0,,480.0,,3.00
406,377.8,1280.0,720.0,,120.0,,
407,112.25,,,,,,
408,92.6,,,,,,
409,379.0,,,,,,
410,92.1,,,,,,
411,310.5,,,,,,
412,72.2,,,,,,
413,128.1,,,,,,
414,45.28,,,,,,
415,124.25,,,,,,
416,108.75,,,,,,
417,106.6,,,,,,
418,90.75,,,,,,
419,234.0,,,,,,
420,2080.0,,,,,,
421,2146.0,,,,,,
422,82.2,,,,,,
423,74.3,,,,,,
424,198.4,,,,,,
425,431.5,1280.0,720.0,,120.0,,3.00
426,570.0,,,,,,
427,458.8,1280.0,720.0,,960.0,,
428,123.06,,,,,,
429,89.9,,,,,,
430,114.9,,,,,,
431,275.8,,,,,,
432,377.8,1280.0,720.0,,256.0,,
433,70.0,,,,,,
434,52.84,,,,,,
435,197.2,,,,,,
436,411.5,,,,,,
437,362.5,1280.0,720.0,,240.0,,2.60
438,180.0,,,,256.0,8.0,2.40
439,58.62,,,,,,
440,310.0,,,,,,
441,119.06,,,,,,
442,126.25,,,,,,
443,21.7,,,,,,
444,100.4,,,,,,
445,142.0,,,,,,
446,567.5,1280.0,720.0,,240.0,,1.60
447,13.02,,,,,,
448,483.0,1280.0,720.0,,120.0,,
449,431.8,1280.0,720.0,,120.0,,3.00
450,489.8,,,,,,
451,8.68,,,,,,
452,1144.0,,,,,,
453,8.68,,,,,,
454,460.0,,,,,,
455,338.8,,,,,,
456,15.19,,,,,,
457,93.44,,,,,,
458,16.28,,,,,,
459,454.8,1280.0,720.0,,480.0,,3.00
460,92.0,,,,,,
461,15.19,,,,,,
462,75.75,,,,,,
463,415.2,,,,,,
464,13.02,,,,,,
465,140.0,,,,,,
466,204.1,,,,,,
467,215.1,,,,,,
468,105.5,,,,,,
469,318.5,1280.0,720.0,,256.0,,3.00
470,176.6,,,,,,
471,10.85,,,,,,
472,326.2,,,,,,
473,195.4,,,,,,
474,91.9,,,,,,
475,59.25,,,,,,
476,74.56,,,,,,
477,94.0,,,,,,
478,82.44,,,,,,
479,130.8,,,,,,
480,311.5,,,,,,
481,310.0,,,,,,
482,2130.0,,,,,,
483,2096.0,,,,,,
484,86.2,,,,,,
485,192.0,1920.0,1080.0,8.0,256.0,8.0,1.20
486,390.0,,,,512.0,8.0,2.80
487,54.0,,,16.0,16.0,4.0,1.60
488,370.0,1920.0,1080.0,1.0,1.0,32.0,1.90
489,150.0,1920.0,1080.0,,256.0,16.0,1.60
490,444.5,1920.0,1080.0,512.0,512.0,12.0,4.40
491,270.0,,,,256.0,16.0,2.40
492,349.5,1920.0,1200.0,128.0,128.0,8.0,1.80
493,270.0,1920.0,1080.0,,128.0,4.0,
494,136.0,,,80.0,,4.0,
495,99.94,,,,,8.0,1.70
496,530.0,,,,256.0,16.0,2.40
497,655.0,,,512.0,512.0,,2.20
498,198.0,1920.0,1080.0,256.0,256.0,16.0,1.6
499,88.0,,,128.0,128.0,4.0,1.6
500,120.0,,,256.0,256.0,,1.60
501,60.0,,,,,,2.30
502,163.0,,,,,,
503,699.0,2256.0,1504.0,,256.0,16.0,
504,444.2,1600.0,900.0,256.0,256.0,12.0,3.50
505,235.0,1920.0,1080.0,,512.0,16.0,2.70
506,29.98,1366.0,768.0,300.0,,4.0,2.50
507,685.0,,,,1.0,16.0,2.60
508,118.0,1920.0,1080.0,,,,
509,300.0,1280.0,800.0,128.0,128.0,8.0,1.6
510,450.0,3840.0,2160.0,,512.0,16.0,2.80
511,259.8,2256.0,1504.0,256.0,256.0,8.0,1.50
512,172.0,1920.0,1080.0,256.0,256.0,8.0,1.90
513,422.0,1920.0,1080.0,,256.0,16.0,2.60
514,220.0,1920.0,1080.0,,128.0,8.0,1.30
515,268.0,,,,512.0,16.0,2.40
516,400.0,1920.0,1080.0,1.0,1.0,32.0,
517,300.0,2560.0,1600.0,,128.0,8.0,
518,187.8,1600.0,900.0,,256.0,16.0,2.90
519,100.0,,,,,,
520,289.5,1920.0,1080.0,256.0,256.0,8.0,3.00
521,178.0,2160.0,1440.0,8.0,256.0,8.0,
522,208.8,,,,16.0,,
523,130.0,,,256.0,256.0,8.0,2.40
524,400.0,1920.0,1080.0,512.0,512.0,16.0,1.70
525,226.8,1366.0,768.0,,,,
526,725.0,,,,256.0,16.0,3.30
527,400.0,1920.0,1080.0,1.0,1.0,24.0,1.80
528,139.0,,,,256.0,8.0,1.7
529,450.0,1920.0,1080.0,,256.0,16.0,2.60
530,155.0,1920.0,1080.0,,256.0,16.0,1.90
531,145.1,,,,,,
532,358.5,,,,,,
533,111.25,,,,,,
534,459.0,,,,,,
535,64.0,,,,,,
536,392.0,1280.0,720.0,,480.0,,2.60
537,81.4,,,,,,
538,603.5,1920.0,1080.0,,960.0,,3.00
539,283.5,,,,,,
540,545.0,,,,,,
541,43.5,,,,,,
542,104.94,,,,,,
543,637.0,,,,,,
544,476.8,,,,,,
545,591.0,,,,,,
546,366.8,,,,,,
547,166.9,,,,,,
548,88.7,,,,,,
549,852.0,,,,,,
550,465.5,1920.0,1080.0,,960.0,,
551,485.5,,,,,,
552,626.0,1920.0,1080.0,,120.0,,3.00
553,690.5,,,,,,
554,465.2,1920.0,1080.0,,480.0,,2.30
555,1701.0,1920.0,1080.0,,4.0,,2.80
556,59.84,,,,,,
557,303.8,1280.0,720.0,,120.0,,2.60
558,317.8,,,,,,
559,92.56,,,,,,
560,5.43,,,,,,
561,105.6,,,,,,
562,129.1,,,,,,
563,41.97,,,,,,
564,91.44,,,,,,
565,92.06,,,,,,
566,54.8,,,,,,
567,70.1,,,,,,
568,93.44,,,,,,
569,93.9,,,,,,
570,279.0,2560.0,1440.0,1.0,1.0,16.0,2.60
571,127.75,,,,,,
572,58.47,,,,,,
573,350.2,1280.0,720.0,,240.0,,
574,449.8,,,,,,
575,95.56,,,,,,
576,94.0,1600.0,900.0,,,,
577,1909.0,,,,,,
578,9.77,,,,,,
579,745.5,,,,,,
580,429.2,1280.0,720.0,,480.0,,2.70
581,149.8,,,,,,
582,113.75,,,,,,
583,1882.0,,,,,,
584,41.75,,,,,,
585,21.69,,,,,,
586,419.0,,,,,,
587,303.8,,,,,,
588,302.8,1280.0,720.0,,240.0,,
589,366.8,,,,,,
590,414.8,1920.0,1080.0,,120.0,,2.30
591,471.8,1280.0,720.0,,480.0,,
592,348.5,,,,,,
593,477.8,1280.0,720.0,,960.0,,2.70
594,300.8,,,,,,
595,58.72,,,,,,
596,105.75,,,,,,
597,65.25,,,,,,
598,57.88,,,,,,
599,9.77,,,,,,
600,94.4,,,,,,
601,75.94,,,,,,
602,82.25,,,,,,
603,356.2,1920.0,1080.0,,480.0,,1.99
604,319.5,1920.0,1080.0,,240.0,,3.10
605,97.5,,,,,,
606,75.94,,,,,,
607,10.85,,,,,,
608,115.94,,,,,,
609,31.44,,,,,,
610,351.5,,,,,,
611,434.2,1920.0,1080.0,,960.0,,2.80
612,434.5,1280.0,720.0,,240.0,,4.00
613,44.97,,,,,,
614,76.9,,,,,,
615,110.8,,,,,,
616,2724.0,1920.0,1080.0,,4.0,,1.80
617,59.22,,,,,,
618,488.8,,,,,,
619,127.56,,,,,,
620,323.2,1280.0,720.0,,120.0,,2.30
621,125.0,,,,,,
622,530.0,,,1.0,1.0,16.0,2.60
623,430.5,1280.0,720.0,,360.0,,
624,70.3,,,,,,
625,60.97,,,,,,
626,66.3,,,,,,
627,942.5,1280.0,720.0,,120.0,,2.90
628,267.0,,,,,,
629,32.56,,,,,,
630,272.2,,,,,,
631,109.2,,,,,,
632,39.38,,,,,,
633,464.5,1280.0,720.0,,960.0,,2.60
634,102.8,,,,,,
635,81.06,,,,,,
636,70.5,,,,,,
637,91.9,,,,,,
638,21.8,,,,,,
639,63.28,,,,,,
640,715.0,,,,,,
641,112.44,,,,,,
642,50.47,,,,16.0,4.0,
643,137.4,,,,,,
644,375.8,,,,,,
645,430.5,1280.0,720.0,,240.0,,3.00
646,91.3,,,,,,
647,510.8,,,,,,
648,90.9,1366.0,768.0,,,,
649,347.2,,,,,,
650,22.06,,,,,,
651,16.36,,,,,,
652,285.0,,,,,,
653,423.2,,,,,,
654,384.2,1280.0,720.0,,240.0,,2.30
655,597.5,1280.0,720.0,,240.0,,1.60
656,434.2,1920.0,1080.0,,960.0,,2.80
657,236.5,,,,,,
658,48.28,,,,,,
659,242.2,,,,,,
660,954.5,,,,,,
661,196.9,,,,,,
662,2658.0,,,,,,
663,105.44,,,,,,
664,352.0,,,,,,
665,470.2,1280.0,720.0,,240.0,,1.99
666,636.5,1280.0,720.0,,960.0,,
667,124.3,,,,,,
668,827.5,,,,,,
669,278.8,,,,,,
670,92.06,,,,,,
671,95.0,,,,,,
672,1090.0,,,,,,
673,532.0,1280.0,720.0,,2.0,,2.60
674,283.0,1280.0,720.0,,240.0,,3.10
675,116.25,,,,,,
676,293.2,1280.0,720.0,,120.0,,2.60
677,91.44,,,,,,
678,427.2,1280.0,720.0,,120.0,,3.00
679,10.85,,,,,,
680,47.1,,,,,,
681,58.97,,,,,,
682,91.9,,,,,,
683,329.2,,,,,,
684,103.06,,,,,,
685,70.5,,,,,,
686,106.94,,,,,,
687,90.1,,,,,,
688,361.5,,,,,,
689,120.75,,,,,,
690,105.9,,,,,,
691,319.0,,,,,,
692,329.5,1920.0,1080.0,,256.0,16.0,2.80
693,729.5,1920.0,1080.0,,256.0,,4.00
694,78.25,,,,,,
695,130.8,,,,,,
696,2144.0,1920.0,1080.0,,240.0,,1.80
697,31.27,,,,,,
698,417.8,,,,,,
699,360.8,,,,,,
700,377.8,1280.0,720.0,,240.0,,
701,19.81,,,,,,
702,684.0,1280.0,720.0,,2.0,,3.00
703,294.5,,,,,,
704,326.2,1920.0,1080.0,,128.0,,2.30
705,87.7,,,,,,
706,462.8,1280.0,720.0,,480.0,,2.40
707,554.5,1280.0,720.0,,2.0,,
708,128.0,,,,,,
709,1028.0,,,,,,
710,99.44,,,,,,
711,532.0,1280.0,720.0,,2.0,,2.60
712,423.0,1280.0,720.0,,120.0,,2.40
713,738.0,1920.0,1080.0,,960.0,,2.20
714,8.68,,,,,,
715,303.8,1280.0,720.0,,240.0,,2.60
716,26.52,,,,,,
717,422.8,,,,,,
718,441.2,,,160.0,,,2.26
719,433.0,1280.0,720.0,,960.0,,2.60
720,120.5,,,,,,
721,13.02,,,,,,
722,351.2,,,,,,
723,383.5,1280.0,720.0,,120.0,,3.00
724,413.8,,,,,,
725,283.0,1280.0,720.0,,240.0,,3.10
726,270.2,1280.0,720.0,,120.0,,3.10
727,50.03,,,,,,
728,289.8,,,,,,
729,475.5,,,,,,
730,90.5,,,,,,
731,70.6,,,,,,
732,70.56,,,,,,
733,387.0,1920.0,1080.0,,120.0,,1.99
734,368.0,,,,,,
735,656.5,,,,,,
736,27.48,,,,,,
737,67.2,,,,,,
738,108.06,,,,,,
739,164.0,,,,,,
740,488.2,1280.0,720.0,,240.0,,
741,42.3,,,,,,
742,27.58,,,,,,
743,124.25,,,,,,
744,449.8,1920.0,1080.0,,960.0,,2.80
745,76.5,,,,,,
746,109.9,1366.0,768.0,,,,
747,382.5,1280.0,720.0,,240.0,,2.60
748,74.9,,,,,,
749,416.2,1280.0,720.0,,480.0,,2.60
750,116.5,,,,,,
751,321.2,1280.0,720.0,,240.0,,2.60
752,96.56,,,,,,
753,456.0,1920.0,1080.0,,960.0,,
754,274.0,,,,,,
755,683.0,,,,,,
756,647.5,1280.0,720.0,,960.0,,3.00
757,97.3,,,,,,
758,550.0,,,,240.0,,3.00
759,134.9,,,,,,
760,196.5,,,,,,
761,478.5,1280.0,720.0,,240.0,,
762,74.6,,,,,,
763,10.85,,,,,,
764,314.0,,,,,,
765,283.8,,,,,,
766,47.47,,,,,,
767,510.0,1280.0,720.0,,120.0,,3.00
768,406.0,,,,,,
769,238.4,,,,,,
770,355.2,1280.0,720.0,,256.0,,
771,163.1,,,,,,
772,576.5,,,,480.0,,3.00
773,588.0,,,,,,
774,64.6,,,,,,
775,141.9,,,,,,
776,493.5,1280.0,720.0,,240.0,,
777,99.75,,,,,,
778,51.06,,,,,,
779,70.6,,,,,,
780,352.5,1280.0,720.0,,240.0,,2.60
781,369.5,,,,,,
782,290.5,1280.0,720.0,,240.0,,3.00
783,81.44,,,,,,
784,488.0,,,,,,
785,260.0,1920.0,1080.0,,256.0,32.0,2.70
786,40.0,,,16.0,16.0,4.0,1.6
787,200.0,,,,128.0,16.0,1.80
788,2372.0,,,1.0,1.0,32.0,
789,300.0,1920.0,1080.0,128.0,128.0,4.0,1.60
790,2378.0,1920.0,1080.0,1.0,1.0,32.0,
791,270.0,1920.0,1080.0,,256.0,8.0,3.00
792,450.0,3840.0,2160.0,,512.0,16.0,2.80
793,190.0,,,500.0,,12.0,
794,350.0,1920.0,1080.0,512.0,512.0,16.0,
