,HARDWARE_ID,GPU,RAM_SIZE_UNIT,STORAGE_TYPE,OPERATING_SYSTEM
168,H168,intel,unknown,ssd,windows
169,H169,intel,unknown,unknown,unknown
170,H170,other,unknown,unknown,unknown
171,H171,intel,unknown,unknown,unknown
172,H172,intel,unknown,unknown,unknown
173,H173,intel,unknown,unknown,unknown
174,H174,intel,unknown,unknown,unknown
175,H175,intel,unknown,unknown,unknown
176,H176,other,unknown,unknown,unknown
177,H177,other,unknown,unknown,unknown
178,H178,other,unknown,unknown,unknown
179,H179,intel,unknown,unknown,unknown
180,H180,intel,unknown,unknown,unknown
181,H181,other,unknown,unknown,unknown
182,H182,other,unknown,unknown,unknown
183,H183,other,unknown,unknown,unknown
184,H184,other,unknown,unknown,unknown
185,H185,other,unknown,unknown,unknown
186,H186,other,unknown,unknown,unknown
187,H187,other,unknown,unknown,unknown
188,H188,other,unknown,unknown,unknown
189,H189,other,unknown,unknown,unknown
190,H190,other,unknown,unknown,unknown
191,H191,intel,gb,hdd/ssd,windows
192,H192,other,unknown,unknown,unknown
193,H193,intel,unknown,ssd,windows
194,H194,intel,unknown,unknown,unknown
195,H195,other,unknown,unknown,unknown
196,H196,intel,unknown,unknown,windows
197,H197,other,gb,unknown,windows
198,H198,intel,gb,unknown,windows
199,H199,intel,unknown,ssd,windows
200,H200,nvidia,unknown,unknown,unknown
201,H201,intel,unknown,ssd,windows
202,H202,other,unknown,unknown,unknown
203,H203,intel,unknown,unknown,unknown
204,H204,other,unknown,unknown,unknown
205,H205,other,unknown,unknown,unknown
206,H206,intel,unknown,unknown,unknown
207,H207,other,unknown,unknown,unknown
208,H208,intel,unknown,unknown,unknown
209,H209,other,unknown,unknown,unknown
210,H210,intel,unknown,unknown,unknown
211,H211,other,unknown,unknown,unknown
212,H212,intel,unknown,unknown,unknown
213,H213,intel,unknown,unknown,unknown
214,H214,intel,unknown,unknown,unknown
215,H215,intel,unknown,unknown,unknown
216,H216,intel,unknown,unknown,unknown
217,H217,other,unknown,unknown,unknown
218,H218,other,unknown,unknown,unknown
219,H219,other,unknown,unknown,unknown
220,H220,other,unknown,unknown,unknown
221,H221,other,unknown,unknown,unknown
222,H222,other,unknown,unknown,unknown
223,H223,intel,unknown,unknown,windows
224,H224,intel,unknown,unknown,unknown
225,H225,intel,unknown,unknown,unknown
226,H226,other,unknown,unknown,unknown
227,H227,other,unknown,unknown,unknown
228,H228,intel,unknown,unknown,windows
229,H229,other,unknown,unknown,unknown
230,H230,intel,unknown,ssd,windows
231,H231,other,unknown,unknown,unknown
232,H232,intel,unknown,unknown,unknown
233,H233,intel,unknown,unknown,unknown
234,H234,nvidia,unknown,unknown,windows
235,H235,intel,unknown,unknown,unknown
236,H236,amd,unknown,unknown,unknown
237,H237,intel,unknown,unknown,unknown
238,H238,other,unknown,unknown,unknown
239,H239,nvidia,unknown,unknown,unknown
240,H240,intel,unknown,unknown,unknown
241,H241,intel,unknown,unknown,unknown
242,H242,other,unknown,unknown,unknown
243,H243,other,unknown,unknown,unknown
244,H244,intel,unknown,unknown,windows
245,H245,other,unknown,unknown,unknown
246,H246,intel,unknown,unknown,unknown
247,H247,other,unknown,unknown,unknown
248,H248,intel,unknown,unknown,windows
249,H249,intel,unknown,unknown,windows
250,H250,other,unknown,unknown,unknown
251,H251,intel,unknown,hdd/ssd,windows
252,H252,nvidia,unknown,unknown,unknown
253,H253,other,unknown,unknown,unknown
254,H254,other,unknown,unknown,unknown
255,H255,other,unknown,unknown,unknown
256,H256,intel,unknown,ssd,windows
257,H257,intel,unknown,ssd,windows
258,H258,intel,unknown,unknown,windows
259,H259,intel,unknown,unknown,unknown
260,H260,other,unknown,unknown,unknown
261,H261,intel,unknown,unknown,unknown
262,H262,intel,unknown,unknown,unknown
263,H263,other,unknown,unknown,unknown
264,H264,intel,unknown,unknown,unknown
265,H265,intel,unknown,unknown,windows
266,H266,intel,unknown,ssd,windows
267,H267,intel,unknown,ssd,windows
268,H268,intel,unknown,ssd,windows
269,H269,other,unknown,unknown,unknown
270,H270,other,unknown,unknown,unknown
271,H271,other,unknown,unknown,unknown
272,H272,other,unknown,unknown,unknown
273,H273,other,unknown,unknown,unknown
274,H274,nvidia,unknown,unknown,windows
275,H275,other,unknown,unknown,unknown
276,H276,intel,unknown,unknown,unknown
277,H277,intel,unknown,unknown,unknown
278,H278,other,unknown,hdd/ssd,unknown
279,H279,intel,unknown,unknown,unknown
280,H280,other,unknown,unknown,unknown
281,H281,other,unknown,unknown,unknown
282,H282,intel,unknown,unknown,windows
283,H283,intel,unknown,unknown,unknown
284,H284,intel,unknown,unknown,windows
285,H285,intel,unknown,unknown,unknown
286,H286,other,unknown,unknown,unknown
287,H287,intel,unknown,unknown,windows
288,H288,intel,unknown,unknown,unknown
289,H289,intel,unknown,unknown,unknown
290,H290,nvidia,gb,ssd,windows
291,H291,intel,unknown,unknown,unknown
292,H292,intel,unknown,unknown,unknown
293,H293,intel,unknown,unknown,unknown
294,H294,other,unknown,unknown,unknown
295,H295,other,unknown,unknown,unknown
296,H296,intel,unknown,unknown,unknown
297,H297,intel,unknown,unknown,unknown
298,H298,intel,unknown,ssd,windows
299,H299,intel,unknown,unknown,windows
300,H300,other,unknown,unknown,unknown
301,H301,other,unknown,unknown,unknown
302,H302,other,unknown,unknown,unknown
303,H303,intel,unknown,unknown,unknown
304,H304,other,unknown,unknown,unknown
305,H305,other,unknown,unknown,unknown
306,H306,other,unknown,unknown,unknown
307,H307,other,unknown,unknown,unknown
308,H308,other,unknown,unknown,unknown
