,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY
3638,S3638,8.43,other,1920,1080
3639,S3639,8.43,other,1920,1080
3640,S3640,14.0,other,1280,720
3641,S3641,14.0,other,1280,720
3642,S3642,8.43,other,1920,1080
3643,S3643,8.43,other,1920,1080
3644,S3644,14.0,other,1280,720
3645,S3645,14.0,other,1920,1080
3646,S3646,11.6,other,1920,1080
3647,S3647,8.43,other,1920,1080
3648,S3648,8.43,other,1920,1080
3649,S3649,14.0,other,1920,1080
3650,S3650,8.43,other,1920,1080
3651,S3651,8.43,other,1920,1080
3652,S3652,14.0,other,1280,720
3653,S3653,8.43,other,1920,1080
3654,S3654,8.43,other,1920,1080
3655,S3655,8.43,other,1920,1080
3656,S3656,8.43,other,1920,1080
3657,S3657,8.43,other,1920,1080
3658,S3658,8.43,other,1920,1080
3659,S3659,8.43,black,1920,1080
3660,S3660,14.0,other,1280,720
3661,S3661,13.3,other,1280,720
3662,S3662,8.43,other,1920,1080
3663,S3663,8.43,other,1920,1080
3664,S3664,8.43,other,1920,1080
3665,S3665,8.43,black,1920,1080
3666,S3666,14.0,other,1280,720
3667,S3667,8.43,other,1920,1080
3668,S3668,8.43,other,1920,1080
3669,S3669,8.43,other,1920,1080
3670,S3670,8.43,other,1920,1080
3671,S3671,8.43,other,1920,1080
3672,S3672,8.43,other,1920,1080
3673,S3673,8.43,other,1920,1080
3674,S3674,4.5,other,1920,1080
3675,S3675,8.43,black,1920,1080
3676,S3676,11.6,gray,1280,800
3677,S3677,8.43,other,1920,1080
3678,S3678,17.3,other,1920,1080
3679,S3679,8.43,other,1920,1080
3680,S3680,13.3,black,1920,1080
3681,S3681,15.6,silver,1366,768
3682,S3682,14.0,black,1366,768
3683,S3683,12.5,other,1920,1080
3684,S3684,17.3,black,1920,1080
3685,S3685,15.6,other,1366,768
3686,S3686,8.43,other,1920,1080
3687,S3687,11.6,blue,1920,1080
3688,S3688,8.43,other,1920,1080
3689,S3689,14.0,multicolor,1366,768
3690,S3690,11.6,silver,1366,768
3691,S3691,11.0,brown,1920,1080
3692,S3692,11.5,white,1366,768
3693,S3693,14.0,other,1920,1080
