,Brand,Currency,Color,Condition,GPU,Processor,Processor Speed,Processor Speed Unit,Type,OS,Storage Type,Hard Drive Capacity Unit,SSD Capacity Unit,Screen Size (inch),Ram Size Unit
51,dell,$,black,Used,intel,intel core i7 6th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,12.5,gb
52,lenovo,$,other,For parts or not working,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,14,unknown
53,lenovo,$,black,Undefined,other,intel core i5 2nd generation,2.5,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,12.5,gb
54,microsoft,$,silver,Undefined,other,nvidia tegra 3,2.6,GHz,other,unknown,ssd,gb,unknown,13.5,gb
55,dell,$,black,Used,nvidia,i5-7300hq,2.5,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
56,dell,$,other,Used,intel,core i7,2.8,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
57,dell,$,black,Used,other,intel core i5 6th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
58,dell,$,black,Used,other,intel celeron,1.6,GHz,notebook/laptop,chrome,emmc,gb,gb,13.3,gb
59,lenovo,$,black,Used,other,intel core i3-6100u,2.3,GHz,other,windows,ssd,gb,gb,11.6,gb
60,lenovo,$,grey,New,intel,intel core i5-1135g7,4.2,GHz,notebook/laptop,windows,ssd,tb,tb,15.6,gb
61,other,$,other,Used,other,intel i7-q740 1.73ghz,1.73,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,18.4,gb
62,dell,$,other,Very Good - Refurbished,other,intel core i5 6th generation,2.4,GHz,notebook/laptop,unknown,ssd,gb,gb,14,gb
63,dell,$,other,Used,other,intel core i7 6th generation,2.7,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
64,dell,$,silver,Used,intel,intel core i7 8th generation,1.8,GHz,notebook/laptop,windows,unknown,unknown,gb,13.3,gb
65,hp,$,silver,Very Good - Refurbished,intel,intel core i5 8th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
66,dell,$,black,Used,other,intel core i7,,unknown,notebook/laptop,unknown,other,unknown,unknown,14,gb
67,lenovo,$,other,Used,other,intel core i5-3320m,2.6,GHz,notebook/laptop,unknown,unknown,gb,unknown,12.5,gb
68,microsoft,$,silver,Open box,intel,intel core i5 11th generation,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,12.3,gb
