,Brand,Currency,Color,Condition,GPU,Processor,Processor Speed,Processor Speed Unit,Type,OS,Storage Type,Hard Drive Capacity Unit,SSD Capacity Unit,Screen Size (inch),Ram Size Unit
1123,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1124,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1125,other,$,other,Seller refurbished,intel,intel core i5 6th generation,2.3,GHz,notebook/laptop,windows,ssd,unknown,tb,13.3,unknown
1126,other,$,other,Used,nvidia,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1127,dell,$,black,For parts or not working,intel,intel core i5 6th generation,2.4,GHz,notebook/laptop,unknown,other,unknown,gb,14,gb
1128,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1129,dell,$,other,Seller refurbished,intel,intel core i5 5th generation,,unknown,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1130,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1131,lenovo,$,other,Used,intel,intel core i5 4th generation,,unknown,other,windows,unknown,unknown,gb,13.3,unknown
1132,dell,$,other,Used,intel,intel core i5 3rd generation,3,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1133,hp,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1134,other,$,other,For parts or not working,other,intel pentium 4 m,,unknown,other,unknown,unknown,unknown,unknown,15,unknown
1135,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1136,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,tb,14,unknown
1137,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1138,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1139,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1140,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1141,dell,$,other,Used,intel,intel core i5 6th generation,2.3,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
1142,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1143,lenovo,$,other,Used,intel,intel core i5 4th generation,1.99,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
1144,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1145,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1146,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1147,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1148,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1149,dell,$,black,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
1150,dell,$,other,Used,intel,intel core i5 4th generation,,unknown,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1151,acer,$,other,For parts or not working,other,intel celeron,,unknown,other,unknown,unknown,unknown,unknown,15.4,unknown
1152,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1153,dell,$,other,Seller refurbished,intel,intel core i5 3rd generation,3.1,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1154,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1155,other,$,other,Good - Refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1156,dell,$,other,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
1157,lenovo,$,black,Used,intel,intel core i5 6th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1158,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1159,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1160,lenovo,$,black,Undefined,other,undefined,,unknown,notebook/laptop,unknown,unknown,unknown,unknown,,unknown
1161,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1162,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1163,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1164,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1165,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1166,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1167,lenovo,$,black,Used,intel,intel core i3 7th generation,,unknown,other,windows,unknown,unknown,gb,13.3,unknown
1168,dell,$,other,Used,nvidia,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1169,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1170,other,$,black,Used,intel,intel core i3 4th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
1171,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1172,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1173,other,$,black,Seller refurbished,nvidia,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1174,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1175,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1176,lenovo,$,other,Used,intel,intel core i5 4th generation,1.99,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
1177,dell,$,other,Used,intel,intel core i5 3rd generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1178,dell,$,black,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
1179,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1180,dell,$,other,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
1181,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1182,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1183,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1184,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1185,lenovo,$,other,Used,intel,intel core i3 7th generation,3,GHz,notebook/laptop,windows,hdd/ssd,unknown,gb,15.6,unknown
1186,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1187,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1188,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1189,dell,$,other,Used,intel,intel core i5 2nd generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,unknown
1190,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1191,other,$,black,Used,intel,intel core i5 4th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,unknown
1192,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1193,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1194,other,$,black,Used,intel,intel core i3 6th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1195,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1196,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1197,dell,$,other,Used,intel,intel core i5 5th generation,2.7,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1198,dell,$,other,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
1199,dell,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1200,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1201,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1202,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1203,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1204,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1205,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1206,lenovo,$,black,Used,intel,intel core i3 7th generation,3,GHz,notebook/laptop,windows,hdd/ssd,unknown,gb,15.6,unknown
1207,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1208,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1209,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1210,other,$,gray,Used,intel,intel core i5 6th generation,2.3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
1211,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1212,lenovo,$,other,Used,intel,intel core i5 4th generation,1.99,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
1213,dell,$,other,Seller refurbished,nvidia,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1214,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1215,lenovo,$,black,Used,intel,intel core i5 3rd generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1216,dell,$,gray,Used,intel,intel core i7 6th generation,2.5,GHz,notebook/laptop,windows,unknown,gb,gb,13.3,unknown
1217,dell,$,black,Used,intel,intel core i5 6th generation,,unknown,other,windows,unknown,unknown,gb,14,unknown
1218,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1219,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1220,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1221,dell,$,black,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1222,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1223,lenovo,$,gray,Used,intel,intel core i3 10th generation,1.49,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,unknown
1224,other,$,other,Seller refurbished,intel,inter core i7 8550u,1.8,GHz,notebook/laptop,windows,ssd,unknown,tb,14,unknown
1225,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1226,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1227,lenovo,$,other,Undefined,intel,intel core i5 4th gen,2.1,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1228,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1229,lenovo,$,black,Used,intel,intel core i5 3rd generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1230,dell,$,black,Used,other,intel core i5 5th generation,2.3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1231,lenovo,$,black,Used,intel,intel core i5 3rd generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1232,dell,$,black,Used,other,core i5 6300u 2.40ghz,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1233,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1234,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1235,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1236,lenovo,$,other,Used,intel,intel core i5 6th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1237,lenovo,$,black,Used,intel,intel core i5 6th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,14,unknown
1238,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1239,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1240,other,$,other,Good - Refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1241,dell,$,other,Used,intel,intel core i5-6300u (6th gen),2.4,GHz,other,windows,hdd/ssd,gb,unknown,14,gb
1242,dell,$,black,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1243,dell,$,black,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1244,dell,$,other,Used,amd,intel core i5 4th generation,3,GHz,notebook/laptop,windows,unknown,unknown,gb,15.6,unknown
1245,lenovo,$,black,Used,intel,intel core i5 6th generation,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1246,dell,$,silver,Used,amd,intel core i5 4th generation,,unknown,notebook/laptop,windows,unknown,unknown,tb,15.6,unknown
1247,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1248,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1249,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1250,lenovo,$,other,Used,intel,intel core i5 4th generation,1.99,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
1251,lenovo,$,black,Used,intel,intel core i5 6th generation,,unknown,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1252,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1253,lg,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,15.6,unknown
1254,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1255,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1256,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1257,dell,$,other,Used,intel,intel core i5 5th generation,2.7,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1258,acer,$,other,For parts or not working,other,intel pentium,,unknown,other,unknown,unknown,unknown,unknown,14,unknown
1259,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1260,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1261,lenovo,$,gray,Used,intel,intel core i3 10th generation,,unknown,other,windows,unknown,unknown,gb,15.6,unknown
1262,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1263,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1264,other,$,other,Seller refurbished,intel,intel core i3 6th generation,,unknown,other,windows,unknown,unknown,gb,13.3,unknown
1265,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1266,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1267,other,$,other,Very Good - Refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1268,acer,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1269,lenovo,$,gray,Used,intel,intel core i3 10th generation,1.49,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,unknown
1270,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1271,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1272,acer,$,other,For parts or not working,other,intel pentium,,unknown,other,unknown,unknown,unknown,unknown,15,unknown
1273,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1274,dell,$,other,Used,intel,intel core i5 4th generation,,unknown,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1275,other,$,other,Good - Refurbished,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1276,other,$,black,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1277,dell,$,other,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
1278,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1279,lenovo,$,other,Used,intel,intel core i5 6th generation,2.4,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1280,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1281,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1282,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1283,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1284,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1285,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1286,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1287,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1288,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1289,dell,$,other,Used,other,intel core i3 4th generation,1.9,GHz,other,windows,hdd/ssd,gb,gb,14,gb
1290,acer,$,silver,Open box,other,intel pentium,,unknown,other,chrome,emmc,gb,gb,15,gb
1291,samsung,$,black,Used,intel,intel celeron,2.5,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
1292,microsoft,$,other,Used,other,intel pentium gold processor 4415y,,unknown,notebook/laptop,unknown,unknown,gb,unknown,10.5,unknown
1293,lenovo,$,black,Used,intel,i5-4200m,2.5,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,15.6,gb
1294,lenovo,$,black,Used,other,i5-6300u,2.4,GHz,other,windows,ssd,gb,gb,,gb
1295,dell,$,other,Used,other,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,gb,gb,11,gb
1296,microsoft,$,silver,Used,intel,intel core i5 10th generation,1.2,GHz,notebook/laptop,unknown,ssd,gb,gb,13.5,gb
1297,other,$,other,Used,other,intel core i7 9th generation,2.6,GHz,notebook/laptop,mac,ssd,unknown,gb,15.4,gb
1298,dell,$,black,Used,intel,intel core i5 8th generation,1.6,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,14,gb
1299,microsoft,$,other,For parts or not working,other,intel core i5,,unknown,notebook/laptop,unknown,ssd,gb,gb,12.5,gb
1300,dell,$,black,Excellent - Refurbished,intel,intel core i7-8665u,1.9,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1301,dell,$,other,Used,other,intel core i3 2nd generation,2.3,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,14,gb
1302,hp,$,other,For parts or not working,other,intel pentium,,unknown,notebook/laptop,unknown,unknown,unknown,unknown,15.6,unknown
1303,hp,$,grey,Used,intel,intel celeron n3350,2.4,GHz,other,chrome,emmc,gb,gb,14,gb
1304,dell,$,other,Used,other,intel core i7 4th generation,2.1,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,14,gb
1305,dell,$,silver,Used,intel,intel core 2 duo,2,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1306,other,$,black,New,nvidia,intel core i9 13th generation,,unknown,notebook/laptop,windows,ssd,tb,tb,18,gb
1307,dell,$,other,For parts or not working,other,i5,,unknown,other,unknown,unknown,unknown,unknown,14,unknown
1308,lenovo,$,black,New,amd,amd ryzen 5,2.3,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1309,asus,$,black,Used,intel,intel core i5,2.5,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,15.6,gb
1310,lg,$,black,Undefined,intel,intel core i7 11th generation,2.9,GHz,notebook/laptop,windows,ssd,unknown,tb,17,gb
1311,acer,$,gray,Used,intel,intel core i7 10th generation,1.8,GHz,notebook/laptop,chrome,ssd,gb,gb,13.5,gb
1312,acer,$,other,Used,other,intel core i5 6th generation,2.3,GHz,notebook/laptop,windows,ssd,unknown,gb,12,gb
1313,lenovo,$,gray,Used,intel,intel core i5 10th generation,1,GHz,notebook/laptop,windows,ssd,gb,gb,14,gb
1314,dell,$,other,Used,other,amd a6 dual-core,,unknown,notebook/laptop,windows,unknown,gb,gb,15.6,gb
1315,other,$,other,Used,other,intel core i5 4th generation,,unknown,other,unknown,ssd,unknown,gb,13,gb
1316,hp,$,other,Used,other,amd,1.6,GHz,notebook/laptop,windows,hdd/ssd,gb,unknown,14,gb
1317,other,$,other,Good - Refurbished,intel,intel core i5 6th till 12th gen select from above,1.8,GHz,notebook/laptop,windows,ssd,gb,gb,,gb
1318,dell,$,gray,Undefined,intel,intel core i7 8th generation,1.9,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1319,dell,$,other,Used,other,intel core i7 6th gen,2.7,GHz,notebook/laptop,unknown,ssd,gb,gb,17.3,gb
1320,hp,$,gray,Used,intel,i5-7200u,2.5,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,15.6,gb
1321,hp,$,silver,Undefined,intel,intel core i5 10th generation,1.7,GHz,notebook/laptop,chrome,ssd,gb,gb,14,gb
1322,dell,$,black,Used,intel,intel core i5 6th generation,2.3,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1323,dell,$,black,Used,intel,intel core i5 8th generation,1.7,GHz,notebook/laptop,unknown,ssd,gb,gb,14,gb
1324,microsoft,$,silver,Used,other,intel core i5 7th generation,2.6,GHz,notebook/laptop,windows,ssd,gb,gb,13.5,gb
1325,dell,$,other,For parts or not working,other,undefined,,unknown,notebook/laptop,unknown,unknown,unknown,unknown,14,unknown
1326,hp,$,black,Used,other,intel core i5 6th generation,2.4,GHz,notebook/laptop,windows,ssd,unknown,gb,14,gb
1327,dell,$,gray,For parts or not working,other,intel core i7-8550u,1.6,GHz,notebook/laptop,unknown,unknown,unknown,unknown,,gb
1328,microsoft,$,other,Very Good - Refurbished,other,intel core i7 10th generation,1.3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.5,gb
1329,dell,$,black,Used,other,intel celeron,1.6,GHz,notebook/laptop,chrome,ssd,gb,gb,11.6,gb
1330,acer,$,gray,Undefined,intel,intel celeron n,1.6,GHz,notebook/laptop,chrome,emmc,gb,unknown,11.6,gb
1331,hp,$,other,Used,other,intel core i5 8th generation,2.7,GHz,notebook/laptop,windows,ssd,unknown,gb,15.6,gb
1332,hp,$,purple,Used,intel,intel core i5 3rd generation,2.6,GHz,notebook/laptop,windows,hdd/ssd,gb,gb,15.6,gb
1333,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1334,lenovo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1335,asus,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1336,lg,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1337,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1338,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1339,samsung,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1340,acer,$,other,For parts or not working,other,intel pentium,,unknown,other,unknown,unknown,unknown,unknown,15.4,unknown
1341,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1342,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1343,lenovo,$,other,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1344,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1345,auo,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1346,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1347,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1348,samsung,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1349,other,$,other,Used,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1350,other,$,gray,New,other,intel celeron,2.9,GHz,notebook/laptop,windows,ssd,gb,gb,15.6,gb
1351,lenovo,$,other,Used,intel,intel core i3 7th generation,3,GHz,notebook/laptop,windows,ssd,unknown,gb,13.3,unknown
1352,dell,$,other,Seller refurbished,nvidia,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1353,other,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1354,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1355,samsung,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1356,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1357,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1358,dell,$,other,Used,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1359,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1360,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1361,samsung,$,other,New,other,not applicable,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1362,dell,$,black,Used,nvidia,intel core i5 4th generation,2.6,GHz,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1363,other,$,other,New,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1364,dell,$,other,Used,intel,intel core i5 6th generation,2.3,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
1365,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1366,other,$,other,Used,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,ssd,unknown,gb,12.5,unknown
1367,dell,$,other,Seller refurbished,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,windows,unknown,unknown,gb,12.5,unknown
1368,dell,$,black,Used,intel,intel core i5 5th generation,,unknown,notebook/laptop,windows,unknown,unknown,gb,14,unknown
1369,other,$,other,Undefined,other,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1370,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1371,other,$,other,Used,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1372,other,$,black,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1373,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
1374,other,$,other,Seller refurbished,intel,undefined,,unknown,other,unknown,unknown,unknown,unknown,,unknown
