,MEMORY_ID,HARD_DRIVE,HARD_DRIVE_CAPACITY_UNIT,SSD_CAPACITY,SSD_CAPACITY_UNIT
260,M260,256,unknown,240,unknown
261,M261,256,unknown,240,unknown
262,M262,256,unknown,240,unknown
263,M263,256,unknown,240,unknown
264,M264,256,unknown,240,unknown
265,M265,256,unknown,480,gb
266,M266,256,unknown,120,gb
267,M267,256,unknown,960,gb
268,M268,256,unknown,960,gb
269,M269,256,unknown,240,unknown
270,M270,256,unknown,240,unknown
271,M271,256,unknown,240,unknown
272,M272,256,unknown,240,unknown
273,M273,256,unknown,240,unknown
274,M274,256,unknown,960,gb
275,M275,256,unknown,240,unknown
276,M276,256,unknown,240,unknown
277,M277,256,unknown,240,unknown
278,M278,256,unknown,240,unknown
279,M279,256,unknown,240,unknown
280,M280,256,unknown,240,unknown
281,M281,256,unknown,240,unknown
282,M282,256,unknown,4,tb
283,M283,256,unknown,240,unknown
284,M284,256,unknown,480,gb
285,M285,256,unknown,240,unknown
286,M286,256,unknown,240,unknown
287,M287,256,unknown,120,gb
288,M288,256,unknown,240,unknown
289,M289,256,unknown,240,unknown
290,M290,2,tb,2,tb
291,M291,256,unknown,240,unknown
292,M292,256,unknown,240,unknown
293,M293,256,unknown,240,unknown
294,M294,256,unknown,240,unknown
295,M295,256,unknown,240,unknown
296,M296,256,unknown,240,unknown
297,M297,256,unknown,240,unknown
298,M298,256,unknown,120,gb
299,M299,256,unknown,240,gb
300,M300,256,unknown,240,unknown
301,M301,256,unknown,240,unknown
302,M302,256,unknown,240,unknown
303,M303,256,unknown,240,unknown
304,M304,256,unknown,240,unknown
305,M305,256,unknown,240,unknown
306,M306,256,unknown,240,unknown
307,M307,256,unknown,240,unknown
308,M308,256,unknown,240,unknown
309,M309,256,unknown,240,unknown
310,M310,256,unknown,240,unknown
311,M311,256,unknown,240,unknown
312,M312,256,unknown,240,unknown
313,M313,256,unknown,240,unknown
314,M314,256,unknown,240,unknown
315,M315,256,unknown,240,gb
316,M316,256,unknown,240,unknown
317,M317,256,unknown,120,gb
318,M318,256,unknown,240,unknown
319,M319,16,gb,512,gb
320,M320,256,unknown,240,unknown
321,M321,256,unknown,240,unknown
322,M322,256,unknown,240,unknown
323,M323,256,unknown,240,unknown
324,M324,256,unknown,240,unknown
325,M325,256,unknown,960,gb
326,M326,256,unknown,240,unknown
327,M327,256,unknown,240,unknown
328,M328,256,unknown,240,unknown
329,M329,256,unknown,240,unknown
330,M330,256,unknown,240,unknown
331,M331,256,unknown,120,gb
332,M332,256,unknown,240,unknown
333,M333,256,unknown,240,unknown
334,M334,256,unknown,240,unknown
335,M335,256,unknown,960,gb
336,M336,256,unknown,240,unknown
337,M337,256,unknown,240,unknown
338,M338,256,unknown,960,gb
339,M339,256,unknown,480,gb
340,M340,256,unknown,240,unknown
341,M341,256,unknown,240,unknown
342,M342,256,gb,256,gb
343,M343,256,unknown,240,unknown
344,M344,256,unknown,240,unknown
345,M345,256,unknown,256,gb
346,M346,256,unknown,240,unknown
347,M347,256,unknown,240,unknown
348,M348,256,unknown,240,unknown
349,M349,256,unknown,240,unknown
350,M350,256,unknown,240,unknown
351,M351,256,unknown,240,unknown
352,M352,256,unknown,240,unknown
353,M353,256,unknown,240,unknown
354,M354,256,unknown,240,unknown
355,M355,256,unknown,240,unknown
356,M356,256,unknown,240,unknown
357,M357,256,unknown,240,unknown
358,M358,256,unknown,240,unknown
359,M359,256,unknown,240,gb
360,M360,256,unknown,240,unknown
361,M361,256,unknown,240,unknown
362,M362,256,unknown,240,unknown
363,M363,256,unknown,240,unknown
364,M364,256,unknown,240,gb
365,M365,256,unknown,240,unknown
366,M366,256,unknown,240,unknown
367,M367,256,unknown,240,unknown
368,M368,256,unknown,480,gb
369,M369,256,unknown,240,gb
370,M370,256,unknown,480,gb
371,M371,256,unknown,240,unknown
372,M372,256,unknown,240,unknown
373,M373,256,unknown,240,unknown
374,M374,256,unknown,240,unknown
375,M375,256,unknown,240,unknown
376,M376,256,unknown,240,unknown
377,M377,256,unknown,240,unknown
378,M378,256,unknown,240,unknown
379,M379,256,unknown,240,unknown
380,M380,256,unknown,240,unknown
381,M381,256,unknown,240,unknown
382,M382,256,unknown,120,gb
383,M383,256,unknown,960,gb
384,M384,256,unknown,240,unknown
385,M385,256,unknown,240,unknown
386,M386,256,unknown,240,unknown
387,M387,256,unknown,4,tb
388,M388,256,unknown,960,gb
389,M389,256,unknown,240,unknown
390,M390,256,unknown,240,unknown
391,M391,256,unknown,240,unknown
392,M392,256,unknown,240,unknown
393,M393,256,unknown,240,unknown
394,M394,256,unknown,240,unknown
395,M395,256,unknown,240,unknown
396,M396,256,unknown,256,gb
397,M397,256,unknown,480,gb
398,M398,256,unknown,240,unknown
399,M399,256,unknown,240,unknown
400,M400,256,unknown,240,unknown
401,M401,256,unknown,240,unknown
402,M402,256,unknown,240,unknown
403,M403,256,unknown,2,tb
404,M404,256,unknown,480,gb
405,M405,256,unknown,120,gb
406,M406,256,unknown,240,unknown
407,M407,256,unknown,240,unknown
408,M408,256,unknown,240,unknown
409,M409,256,unknown,240,unknown
410,M410,256,unknown,240,unknown
411,M411,256,unknown,240,unknown
412,M412,256,unknown,240,unknown
413,M413,256,unknown,240,unknown
414,M414,256,unknown,240,unknown
415,M415,256,unknown,240,unknown
416,M416,256,unknown,240,unknown
417,M417,256,unknown,240,unknown
418,M418,256,unknown,240,unknown
419,M419,256,unknown,240,unknown
420,M420,256,unknown,240,unknown
421,M421,256,unknown,240,unknown
422,M422,256,unknown,240,unknown
423,M423,256,unknown,240,unknown
424,M424,256,unknown,120,gb
425,M425,256,unknown,240,unknown
426,M426,256,unknown,960,gb
427,M427,256,unknown,240,unknown
428,M428,256,unknown,240,unknown
429,M429,256,unknown,240,unknown
430,M430,256,unknown,240,unknown
431,M431,256,unknown,256,gb
432,M432,256,unknown,240,unknown
433,M433,256,unknown,240,unknown
434,M434,256,unknown,240,unknown
435,M435,256,unknown,240,unknown
436,M436,256,unknown,240,gb
437,M437,256,unknown,256,gb
438,M438,256,unknown,240,unknown
439,M439,256,unknown,240,unknown
440,M440,256,unknown,240,unknown
441,M441,256,unknown,240,unknown
442,M442,256,unknown,240,unknown
443,M443,256,unknown,240,unknown
444,M444,256,unknown,240,unknown
445,M445,256,unknown,240,gb
446,M446,256,unknown,240,unknown
447,M447,256,unknown,120,gb
448,M448,256,unknown,120,gb
449,M449,256,unknown,240,unknown
450,M450,256,unknown,240,unknown
451,M451,256,unknown,240,unknown
452,M452,256,unknown,240,unknown
453,M453,256,unknown,240,unknown
454,M454,256,unknown,240,unknown
455,M455,256,unknown,240,unknown
456,M456,256,unknown,240,unknown
457,M457,256,unknown,240,unknown
458,M458,256,unknown,480,gb
459,M459,256,unknown,240,unknown
460,M460,256,unknown,240,unknown
461,M461,256,unknown,240,unknown
462,M462,256,unknown,240,unknown
463,M463,256,unknown,240,unknown
464,M464,256,unknown,240,unknown
465,M465,256,unknown,240,unknown
466,M466,256,unknown,240,unknown
467,M467,256,unknown,240,unknown
468,M468,256,unknown,256,gb
469,M469,256,unknown,240,unknown
470,M470,256,unknown,240,unknown
471,M471,256,unknown,240,unknown
472,M472,256,unknown,240,unknown
473,M473,256,unknown,240,unknown
474,M474,256,unknown,240,unknown
475,M475,256,unknown,240,unknown
476,M476,256,unknown,240,unknown
477,M477,256,unknown,240,unknown
478,M478,256,unknown,240,unknown
479,M479,256,unknown,240,unknown
480,M480,256,unknown,240,unknown
481,M481,256,unknown,240,unknown
482,M482,256,unknown,240,unknown
483,M483,256,unknown,240,unknown
484,M484,8,gb,256,gb
485,M485,256,unknown,512,gb
486,M486,16,gb,16,gb
487,M487,1,tb,1,tb
488,M488,256,unknown,256,gb
489,M489,512,gb,512,gb
490,M490,256,unknown,256,gb
491,M491,128,gb,128,gb
492,M492,256,unknown,128,gb
493,M493,80,gb,240,unknown
494,M494,256,unknown,240,unknown
495,M495,256,unknown,256,gb
496,M496,512,gb,512,gb
497,M497,256,gb,256,gb
498,M498,128,gb,128,gb
499,M499,256,gb,256,gb
500,M500,256,unknown,240,unknown
501,M501,256,unknown,240,unknown
502,M502,256,unknown,256,gb
503,M503,256,gb,256,gb
504,M504,256,unknown,512,gb
505,M505,300,gb,240,unknown
506,M506,256,unknown,1,tb
507,M507,256,unknown,240,unknown
508,M508,128,gb,128,gb
509,M509,256,unknown,512,gb
510,M510,256,gb,256,gb
511,M511,256,gb,256,gb
512,M512,256,unknown,256,gb
513,M513,256,unknown,128,gb
514,M514,256,unknown,512,gb
515,M515,1,tb,1,tb
516,M516,256,unknown,128,gb
517,M517,256,unknown,256,gb
518,M518,256,unknown,240,unknown
519,M519,256,gb,256,gb
520,M520,8,gb,256,gb
521,M521,256,unknown,16,gb
522,M522,256,gb,256,gb
523,M523,512,gb,512,gb
524,M524,256,unknown,240,unknown
525,M525,256,unknown,256,gb
526,M526,1,tb,1,tb
527,M527,256,unknown,256,gb
528,M528,256,unknown,256,gb
529,M529,256,unknown,256,gb
530,M530,256,unknown,240,unknown
531,M531,256,unknown,240,unknown
532,M532,256,unknown,240,unknown
533,M533,256,unknown,240,unknown
534,M534,256,unknown,240,unknown
535,M535,256,unknown,480,gb
536,M536,256,unknown,240,unknown
537,M537,256,unknown,960,gb
538,M538,256,unknown,240,unknown
539,M539,256,unknown,240,unknown
540,M540,256,unknown,240,unknown
541,M541,256,unknown,240,unknown
542,M542,256,unknown,240,unknown
543,M543,256,unknown,240,unknown
544,M544,256,unknown,240,unknown
545,M545,256,unknown,240,unknown
546,M546,256,unknown,240,unknown
547,M547,256,unknown,240,unknown
548,M548,256,unknown,240,unknown
549,M549,256,unknown,960,gb
550,M550,256,unknown,240,unknown
551,M551,256,unknown,120,gb
552,M552,256,unknown,240,unknown
553,M553,256,unknown,480,gb
554,M554,256,unknown,4,tb
555,M555,256,unknown,240,unknown
556,M556,256,unknown,120,gb
557,M557,256,unknown,240,unknown
558,M558,256,unknown,240,unknown
559,M559,256,unknown,240,unknown
560,M560,256,unknown,240,unknown
561,M561,256,unknown,240,unknown
562,M562,256,unknown,240,unknown
563,M563,256,unknown,240,unknown
564,M564,256,unknown,240,unknown
565,M565,256,unknown,240,unknown
566,M566,256,unknown,240,unknown
567,M567,256,unknown,240,unknown
568,M568,256,unknown,240,unknown
569,M569,1,tb,1,tb
570,M570,256,unknown,240,unknown
571,M571,256,unknown,240,unknown
572,M572,256,unknown,240,gb
573,M573,256,unknown,240,unknown
574,M574,256,unknown,240,unknown
575,M575,256,unknown,240,unknown
576,M576,256,unknown,240,unknown
577,M577,256,unknown,240,unknown
578,M578,256,unknown,240,unknown
579,M579,256,unknown,480,gb
580,M580,256,unknown,240,unknown
581,M581,256,unknown,240,unknown
582,M582,256,unknown,240,unknown
583,M583,256,unknown,240,unknown
584,M584,256,unknown,240,unknown
585,M585,256,unknown,240,unknown
586,M586,256,unknown,240,unknown
587,M587,256,unknown,240,gb
588,M588,256,unknown,240,unknown
589,M589,256,unknown,120,gb
590,M590,256,unknown,480,gb
591,M591,256,unknown,240,unknown
592,M592,256,unknown,960,gb
593,M593,256,unknown,240,unknown
594,M594,256,unknown,240,unknown
595,M595,256,unknown,240,unknown
596,M596,256,unknown,240,unknown
597,M597,256,unknown,240,unknown
598,M598,256,unknown,240,unknown
599,M599,256,unknown,240,unknown
600,M600,256,unknown,240,unknown
601,M601,256,unknown,240,unknown
602,M602,256,unknown,480,gb
603,M603,256,unknown,240,gb
604,M604,256,unknown,240,unknown
605,M605,256,unknown,240,unknown
606,M606,256,unknown,240,unknown
607,M607,256,unknown,240,unknown
608,M608,256,unknown,240,unknown
609,M609,256,unknown,240,unknown
610,M610,256,unknown,960,gb
611,M611,256,unknown,240,gb
612,M612,256,unknown,240,unknown
613,M613,256,unknown,240,unknown
614,M614,256,unknown,240,unknown
615,M615,256,unknown,4,tb
616,M616,256,unknown,240,unknown
617,M617,256,unknown,240,unknown
618,M618,256,unknown,240,unknown
619,M619,256,unknown,120,gb
620,M620,256,unknown,240,unknown
621,M621,1,tb,1,tb
622,M622,256,unknown,360,gb
623,M623,256,unknown,240,unknown
624,M624,256,unknown,240,unknown
625,M625,256,unknown,240,unknown
626,M626,256,unknown,120,gb
627,M627,256,unknown,240,unknown
628,M628,256,unknown,240,unknown
629,M629,256,unknown,240,unknown
630,M630,256,unknown,240,unknown
631,M631,256,unknown,240,unknown
632,M632,256,unknown,960,gb
633,M633,256,unknown,240,unknown
634,M634,256,unknown,240,unknown
635,M635,256,unknown,240,unknown
636,M636,256,unknown,240,unknown
637,M637,256,unknown,240,unknown
638,M638,256,unknown,240,unknown
639,M639,256,unknown,240,unknown
640,M640,256,unknown,240,unknown
641,M641,256,unknown,16,gb
642,M642,256,unknown,240,unknown
643,M643,256,unknown,240,unknown
644,M644,256,unknown,240,gb
645,M645,256,unknown,240,unknown
646,M646,256,unknown,240,unknown
647,M647,256,unknown,240,unknown
648,M648,256,unknown,240,unknown
649,M649,256,unknown,240,unknown
650,M650,256,unknown,240,unknown
651,M651,256,unknown,240,unknown
652,M652,256,unknown,240,unknown
653,M653,256,unknown,240,gb
654,M654,256,unknown,240,gb
655,M655,256,unknown,960,gb
656,M656,256,unknown,240,unknown
657,M657,256,unknown,240,unknown
658,M658,256,unknown,240,unknown
659,M659,256,unknown,240,unknown
660,M660,256,unknown,240,unknown
661,M661,256,unknown,240,unknown
662,M662,256,unknown,240,unknown
663,M663,256,unknown,240,unknown
664,M664,256,unknown,240,gb
665,M665,256,unknown,960,gb
666,M666,256,unknown,240,unknown
667,M667,256,unknown,240,unknown
668,M668,256,unknown,240,unknown
669,M669,256,unknown,240,unknown
670,M670,256,unknown,240,unknown
671,M671,256,unknown,240,unknown
672,M672,256,unknown,2,tb
673,M673,256,unknown,240,gb
674,M674,256,unknown,240,unknown
675,M675,256,unknown,120,gb
676,M676,256,unknown,240,unknown
677,M677,256,unknown,120,gb
678,M678,256,unknown,240,unknown
679,M679,256,unknown,240,unknown
680,M680,256,unknown,240,unknown
681,M681,256,unknown,240,unknown
682,M682,256,unknown,240,unknown
683,M683,256,unknown,240,unknown
684,M684,256,unknown,240,unknown
685,M685,256,unknown,240,unknown
686,M686,256,unknown,240,unknown
687,M687,256,unknown,240,unknown
688,M688,256,unknown,240,unknown
689,M689,256,unknown,240,unknown
690,M690,256,unknown,240,unknown
691,M691,256,unknown,256,gb
692,M692,256,unknown,256,gb
693,M693,256,unknown,240,unknown
694,M694,256,unknown,240,unknown
695,M695,256,unknown,240,gb
696,M696,256,unknown,240,unknown
697,M697,256,unknown,240,unknown
698,M698,256,unknown,240,unknown
699,M699,256,unknown,240,gb
700,M700,256,unknown,240,unknown
701,M701,256,unknown,2,tb
702,M702,256,unknown,240,unknown
703,M703,256,unknown,128,gb
704,M704,256,unknown,240,unknown
705,M705,256,unknown,480,gb
706,M706,256,unknown,2,tb
707,M707,256,unknown,240,unknown
708,M708,256,unknown,240,unknown
709,M709,256,unknown,240,unknown
710,M710,256,unknown,2,tb
711,M711,256,unknown,120,gb
712,M712,256,unknown,960,gb
713,M713,256,unknown,240,unknown
714,M714,256,unknown,240,gb
715,M715,256,unknown,240,unknown
716,M716,256,unknown,240,unknown
717,M717,160,gb,240,unknown
718,M718,256,unknown,960,gb
719,M719,256,unknown,240,unknown
720,M720,256,unknown,240,unknown
721,M721,256,unknown,240,unknown
722,M722,256,unknown,120,gb
723,M723,256,unknown,240,unknown
724,M724,256,unknown,240,gb
725,M725,256,unknown,120,gb
726,M726,256,unknown,240,unknown
727,M727,256,unknown,240,unknown
728,M728,256,unknown,240,unknown
729,M729,256,unknown,240,unknown
730,M730,256,unknown,240,unknown
731,M731,256,unknown,240,unknown
732,M732,256,unknown,120,gb
733,M733,256,unknown,240,unknown
734,M734,256,unknown,240,unknown
735,M735,256,unknown,240,unknown
736,M736,256,unknown,240,unknown
737,M737,256,unknown,240,unknown
738,M738,256,unknown,240,unknown
739,M739,256,unknown,240,gb
740,M740,256,unknown,240,unknown
741,M741,256,unknown,240,unknown
742,M742,256,unknown,240,unknown
743,M743,256,unknown,960,gb
744,M744,256,unknown,240,unknown
745,M745,256,unknown,240,unknown
746,M746,256,unknown,240,gb
747,M747,256,unknown,240,unknown
748,M748,256,unknown,480,gb
749,M749,256,unknown,240,unknown
750,M750,256,unknown,240,gb
751,M751,256,unknown,240,unknown
752,M752,256,unknown,960,gb
753,M753,256,unknown,240,unknown
754,M754,256,unknown,240,unknown
755,M755,256,unknown,960,gb
756,M756,256,unknown,240,unknown
757,M757,256,unknown,240,gb
758,M758,256,unknown,240,unknown
759,M759,256,unknown,240,unknown
760,M760,256,unknown,240,gb
761,M761,256,unknown,240,unknown
762,M762,256,unknown,240,unknown
763,M763,256,unknown,240,unknown
764,M764,256,unknown,240,unknown
765,M765,256,unknown,240,unknown
766,M766,256,unknown,120,gb
767,M767,256,unknown,240,unknown
768,M768,256,unknown,240,unknown
769,M769,256,unknown,256,gb
770,M770,256,unknown,240,unknown
771,M771,256,unknown,480,gb
772,M772,256,unknown,240,unknown
773,M773,256,unknown,240,unknown
774,M774,256,unknown,240,unknown
775,M775,256,unknown,240,gb
776,M776,256,unknown,240,unknown
777,M777,256,unknown,240,unknown
778,M778,256,unknown,240,unknown
779,M779,256,unknown,240,gb
780,M780,256,unknown,240,unknown
781,M781,256,unknown,240,gb
782,M782,256,unknown,240,unknown
783,M783,256,unknown,240,unknown
784,M784,256,unknown,256,gb
785,M785,16,gb,16,gb
786,M786,256,unknown,128,gb
787,M787,1,tb,1,tb
788,M788,128,gb,128,gb
789,M789,1,tb,1,tb
790,M790,256,unknown,256,gb
791,M791,256,unknown,512,gb
792,M792,500,gb,240,unknown
793,M793,512,gb,512,gb
794,M794,512,gb,512,gb
795,M795,256,unknown,240,unknown
796,M796,1,tb,240,unknown
797,M797,16,gb,16,gb
798,M798,160,gb,240,unknown
799,M799,256,unknown,64,gb
800,M800,1,tb,1,tb
801,M801,256,unknown,240,gb
802,M802,512,gb,512,gb
803,M803,4,gb,64,gb
804,M804,750,gb,240,unknown
805,M805,16,gb,240,unknown
806,M806,512,gb,512,gb
807,M807,32,gb,32,gb
808,M808,256,unknown,512,gb
809,M809,256,unknown,512,gb
810,M810,512,gb,512,gb
811,M811,256,unknown,240,unknown
812,M812,256,unknown,0,gb
813,M813,256,unknown,240,unknown
814,M814,256,unknown,256,gb
815,M815,16,gb,16,gb
816,M816,256,unknown,240,unknown
817,M817,1,tb,1,tb
818,M818,256,unknown,240,unknown
819,M819,256,gb,256,gb
820,M820,16,gb,16,gb
821,M821,256,unknown,240,unknown
822,M822,256,unknown,240,unknown
823,M823,256,unknown,240,unknown
824,M824,256,unknown,240,unknown
825,M825,256,unknown,480,gb
826,M826,256,unknown,240,unknown
827,M827,256,unknown,480,gb
828,M828,256,unknown,240,unknown
829,M829,256,unknown,2,tb
830,M830,256,unknown,240,unknown
831,M831,256,unknown,240,gb
832,M832,256,unknown,960,gb
833,M833,256,unknown,240,unknown
834,M834,256,unknown,240,unknown
