BRAND,COLOR,CONDITIONS,PRICE
other,other,Seller refurbished,445.8
other,other,Used,596.5
other,other,Undefined,117.06
other,black,Seller refurbished,342.2
lenovo,other,Used,639.0
other,other,New,89.25
other,other,Seller refurbished,512.0
other,other,Used,335.8
dell,other,Used,559.5
dell,other,Used,352.5
other,other,Used,341.8
lenovo,black,Used,691.5
other,other,Used,405.2
lg,other,New,95.0
other,other,New,116.56
other,other,For parts or not working,21.8
lenovo,black,Used,626.0
other,other,Seller refurbished,481.8
dell,other,Used,389.8
other,other,Used,516.0
other,other,New,85.06
other,other,Seller refurbished,500.5
other,black,Seller refurbished,462.2
other,other,New,28.8
other,other,Seller refurbished,491.0
dell,other,Used,392.0
other,black,Used,383.5
dell,black,Used,568.5
other,black,Used,573.0
other,other,New,142.9
other,other,Used,10.85
other,other,New,80.75
other,other,Used,23.88
other,other,Used,251.6
dell,other,Used,451.5
other,other,New,80.5
other,other,Seller refurbished,478.5
other,other,Seller refurbished,766.0
dell,gray,Undefined,221.2
other,black,Seller refurbished,399.0
lenovo,other,New,45.1
auo,other,New,92.5
dell,black,Used,1463.0
other,other,Used,373.0
dell,other,Used,416.2
other,other,Used,394.8
other,other,New,382.0
dell,other,Used,293.2
other,black,Used,783.5
other,black,Used,727.0
hp,silver,New,699.0
other,other,Seller refurbished,391.5
other,other,Seller refurbished,411.5
other,other,Seller refurbished,229.6
other,other,Undefined,199.9
lenovo,black,Undefined,542.5
other,other,Seller refurbished,548.5
other,other,New,655.5
lenovo,other,Used,464.5
dell,black,Used,334.2
other,other,New,112.2
other,other,New,114.5
other,other,New,123.2
other,black,Seller refurbished,457.2
other,other,New,89.6
other,other,New,58.56
other,other,New,130.4
other,other,Used,318.0
other,other,New,88.25
lg,other,New,103.25
other,other,New,2506.0
other,other,New,309.2
other,other,Seller refurbished,526.0
other,black,Seller refurbished,543.5
other,black,Seller refurbished,2288.0
other,other,Used,377.8
other,other,Used,382.5
dell,other,Used,307.2
lg,other,New,86.1
other,other,Used,1077.0
other,other,New,58.62
other,other,New,53.16
other,other,Undefined,85.25
other,other,Seller refurbished,363.2
auo,other,New,91.7
lenovo,other,Used,449.8
other,other,Used,289.0
other,black,Seller refurbished,313.2
other,other,For parts or not working,22.06
other,black,Seller refurbished,374.5
other,other,Undefined,59.22
dell,other,Used,272.0
other,other,Undefined,39.12
other,other,New,45.1
other,other,For parts or not working,27.94
dell,other,Seller refurbished,469.0
hp,other,Used,200.0
other,other,New,107.6
dell,other,Used,652.0
dell,other,Used,422.5
other,other,New,79.4
other,other,Undefined,27.58
dell,other,Used,235.0
other,black,Seller refurbished,571.5
other,other,Used,526.5
dell,black,Used,214.8
other,other,New,103.5
other,other,New,485.5
auo,other,New,60.06
acer,other,Undefined,93.9
samsung,other,New,113.25
other,other,New,32.44
other,other,New,46.06
other,other,Used,336.2
other,black,Seller refurbished,426.0
other,black,Seller refurbished,303.8
other,other,New,63.7
other,other,New,460.0
other,other,Used,380.0
other,black,Used,394.0
other,other,Used,75.94
other,other,New,203.8
other,other,Undefined,81.6
other,other,New,85.25
lenovo,black,Used,319.5
other,black,New,3156.0
other,other,Used,339.5
other,other,New,440.2
dell,black,Used,381.5
dell,other,Used,314.5
dell,black,Used,408.2
lg,other,New,91.3
other,other,Used,481.0
other,other,Used,222.9
other,other,New,128.5
other,other,Used,408.5
other,black,Seller refurbished,488.8
other,other,New,28.98
other,other,New,94.4
other,other,New,125.94
other,other,Used,361.8
other,other,New,130.0
other,other,Seller refurbished,2130.0
dell,black,Used,462.8
other,other,New,105.0
other,other,Seller refurbished,2270.0
other,other,New,26.52
lenovo,black,Used,1701.0
dell,black,Used,477.8
other,other,New,117.44
samsung,other,New,55.12
other,other,New,104.7
other,other,Undefined,28.8
auo,other,New,50.78
other,other,Used,84.9
other,other,Used,721.0
lenovo,gray,Used,607.0
other,other,Used,416.2
other,other,Seller refurbished,737.0
samsung,other,Undefined,90.06
other,other,Undefined,64.0
other,other,Undefined,48.66
lg,other,New,92.1
dell,other,Used,485.8
other,other,Used,462.0
other,other,Used,377.8
lg,other,New,112.25
other,other,New,92.6
other,other,Seller refurbished,379.0
auo,other,New,92.1
other,other,New,310.5
lenovo,other,New,72.2
other,other,New,128.1
other,other,New,45.28
other,other,New,124.25
other,other,New,108.75
other,other,New,106.6
lg,other,New,90.75
other,other,New,234.0
other,other,Seller refurbished,2080.0
other,other,Seller refurbished,2146.0
other,other,New,82.2
auo,other,New,74.3
other,other,New,198.4
other,other,Used,431.5
other,black,Seller refurbished,570.0
dell,other,Used,458.8
other,other,Undefined,123.06
auo,other,New,89.9
other,other,New,114.9
other,other,Undefined,275.8
other,other,Used,377.8
other,other,New,70.0
other,other,New,52.84
other,other,Seller refurbished,197.2
other,black,Seller refurbished,411.5
dell,other,Used,362.5
dell,black,Used,180.0
other,other,Undefined,58.62
other,other,Good - Refurbished,310.0
other,other,New,119.06
other,other,New,126.25
other,other,Used,21.7
other,other,New,100.4
samsung,other,New,142.0
lenovo,other,Used,567.5
other,other,Used,13.02
dell,other,Used,483.0
other,black,Used,431.8
other,other,Used,489.8
other,other,Used,8.68
other,other,Seller refurbished,1144.0
other,other,Used,8.68
other,other,Used,460.0
other,other,Used,338.8
other,other,Used,15.19
other,other,New,93.44
other,other,Used,16.28
other,other,Used,454.8
other,other,New,92.0
other,other,Used,15.19
other,other,New,75.75
other,black,Seller refurbished,415.2
other,other,Used,13.02
other,other,New,140.0
other,other,Used,204.1
other,other,Used,215.1
other,other,Undefined,105.5
other,gray,Used,318.5
other,other,Undefined,176.6
other,other,New,10.85
other,other,Used,326.2
other,other,New,195.4
acer,other,New,91.9
lg,other,New,59.25
other,other,New,74.56
auo,other,New,94.0
other,other,New,82.44
samsung,other,New,130.8
other,other,New,311.5
other,other,Good - Refurbished,310.0
other,other,Seller refurbished,2130.0
other,other,Seller refurbished,2096.0
other,other,New,86.2
lenovo,gray,Open box,192.0
acer,blue,New,390.0
acer,black,Used,54.0
dell,black,Excellent - Refurbished,370.0
lenovo,black,Used,150.0
lenovo,blue,Open box,444.5
dell,other,Used,270.0
acer,silver,Undefined,349.5
lenovo,gray,Undefined,270.0
dell,other,Used,136.0
lenovo,other,Used,99.94
microsoft,silver,Good - Refurbished,530.0
lg,other,Excellent - Refurbished,655.0
lenovo,black,Used,198.0
hp,other,Used,88.0
lenovo,other,Used,120.0
lenovo,black,For parts or not working,60.0
asus,other,Undefined,163.0
microsoft,silver,New,699.0
hp,other,Open box,444.2
dell,black,Used,235.0
lenovo,black,Used,29.98
other,silver,Very Good - Refurbished,685.0
other,other,Used,118.0
other,black,Used,300.0
lenovo,black,Very Good - Refurbished,450.0
microsoft,silver,Used,259.8
hp,silver,Used,172.0
dell,other,Good - Refurbished,422.0
other,black,Undefined,220.0
lenovo,black,Very Good - Refurbished,268.0
dell,other,Excellent - Refurbished,400.0
other,gray,Open box,300.0
lenovo,purple,Used,187.8
dell,other,Used,100.0
asus,black,Undefined,289.5
other,silver,Used,178.0
other,other,Used,208.8
microsoft,silver,Used,130.0
dell,black,Used,400.0
other,other,Used,226.8
hp,other,Open box,725.0
lenovo,black,Excellent - Refurbished,400.0
lenovo,black,Used,139.0
hp,silver,Open box,450.0
dell,black,Used,155.0
other,other,New,145.1
other,other,Excellent - Refurbished,358.5
other,other,New,111.25
lenovo,black,Undefined,459.0
other,other,New,64.0
dell,other,Used,392.0
other,other,New,81.4
lenovo,black,Used,603.5
other,other,Seller refurbished,283.5
other,other,Seller refurbished,545.0
other,other,Used,43.5
other,other,Undefined,104.94
other,other,Seller refurbished,637.0
other,other,Used,476.8
other,other,Seller refurbished,591.0
other,other,Seller refurbished,366.8
other,other,Undefined,166.9
other,black,Undefined,88.7
other,black,Used,852.0
