,SCREEN_ID,SCREEN_SIZE_INCH,COLOR,WIDTH_DISPLAY,HEIGHT_DISPLAY,DISPLAY,WEBCAM(BUILT-IN)
1710,S1710,15.6,silver,1920.0,1080.0,NO,YES
1711,S1711,10.1,gray,1920.0,1200.0,NO,YES
1712,S1712,14.0,silver,1920.0,1080.0,NO,YES
1713,S1713,8.43,other,1920.0,1080.0,NO,NO
1714,S1714,7.0,other,800.0,480.0,NO,NO
1715,S1715,14.0,blue,1920.0,1080.0,NO,NO
1716,S1716,12.5,black,1920.0,1080.0,NO,NO
1717,S1717,15.0,other,1920.0,1080.0,NO,YES
1718,S1718,14.0,silver,1920.0,1080.0,NO,NO
1719,S1719,12.5,other,1920.0,1080.0,NO,YES
1720,S1720,15.0,black,1920.0,1080.0,NO,YES
1721,S1721,11.6,gray,1366.0,768.0,NO,NO
1722,S1722,11.6,black,1366.0,768.0,YES,YES
1723,S1723,14.1,gray,1920.0,1080.0,NO,NO
1724,S1724,13.0,other,1920.0,1080.0,NO,NO
1725,S1725,17.3,silver,1920.0,1080.0,NO,NO
1726,S1726,15.6,black,1920.0,1080.0,YES,YES
1727,S1727,13.5,silver,2256.0,1504.0,NO,NO
1728,S1728,17.3,blue,1920.0,1080.0,NO,YES
1729,S1729,15.6,other,1920.0,1080.0,NO,NO
1730,S1730,14.0,gray,1920.0,1080.0,NO,YES
1731,S1731,15.6,silver,1920.0,1080.0,NO,YES
1732,S1732,15.6,other,1920.0,1080.0,YES,YES
1733,S1733,15.0,silver,1600.0,900.0,NO,YES
1734,S1734,14.0,black,1920.0,1080.0,YES,NO
1735,S1735,14.0,other,1920.0,1080.0,NO,NO
1736,S1736,14.1,green,1920.0,1080.0,NO,YES
1737,S1737,13.5,other,1920.0,1080.0,NO,NO
1738,S1738,15.6,black,1920.0,1080.0,NO,YES
1739,S1739,15.6,black,1366.0,768.0,YES,YES
1740,S1740,10.1,blue,1920.0,1200.0,NO,NO
1741,S1741,15.6,blue,1920.0,1080.0,YES,YES
1742,S1742,14.0,other,1366.0,768.0,NO,YES
1743,S1743,15.6,gray,1920.0,1080.0,NO,NO
1744,S1744,13.5,brown,2256.0,1504.0,NO,NO
1745,S1745,15.6,other,1920.0,1080.0,NO,NO
1746,S1746,15.6,other,1920.0,1080.0,NO,YES
1747,S1747,14.0,gray,1920.0,1080.0,NO,NO
1748,S1748,14.0,silver,1920.0,1080.0,NO,NO
1749,S1749,11.6,black,1366.0,768.0,YES,YES
1750,S1750,11.6,black,1366.0,768.0,NO,NO
1751,S1751,8.43,green,1600.0,900.0,NO,YES
1752,S1752,17.3,black,1920.0,1080.0,NO,YES
1753,S1753,12.3,silver,2736.0,1824.0,NO,YES
1754,S1754,14.0,blue,1366.0,768.0,NO,YES
1755,S1755,14.0,other,1920.0,1080.0,NO,NO
1756,S1756,13.3,other,1366.0,768.0,NO,YES
1757,S1757,10.1,other,1920.0,1080.0,NO,NO
1758,S1758,14.0,black,1920.0,1080.0,NO,NO
1759,S1759,14.0,grey,1920.0,1080.0,NO,YES
1760,S1760,14.0,other,1920.0,1080.0,NO,NO
1761,S1761,14.0,gray,1920.0,1080.0,NO,YES
1762,S1762,15.6,other,1920.0,1080.0,NO,YES
1763,S1763,18.0,black,1920.0,1080.0,NO,NO
1764,S1764,14.0,other,1920.0,1080.0,NO,NO
1765,S1765,12.5,other,1920.0,1080.0,YES,YES
1766,S1766,15.6,other,1920.0,1080.0,NO,NO
1767,S1767,12.5,other,1366.0,768.0,NO,NO
1768,S1768,14.0,other,1920.0,1080.0,YES,YES
1769,S1769,8.43,other,1920.0,1080.0,NO,NO
1770,S1770,8.43,other,1920.0,1080.0,NO,NO
1771,S1771,8.43,other,1920.0,1080.0,NO,NO
1772,S1772,15.6,other,1920.0,1080.0,NO,NO
1773,S1773,13.0,gray,2160.0,1440.0,NO,NO
1774,S1774,8.43,other,1920.0,1080.0,NO,YES
1775,S1775,8.43,other,1920.0,1080.0,NO,NO
1776,S1776,10.1,silver,1920.0,1080.0,NO,NO
1777,S1777,14.0,other,1920.0,1080.0,NO,NO
1778,S1778,11.6,gray,1366.0,768.0,NO,NO
1779,S1779,12.5,other,1920.0,1080.0,NO,YES
1780,S1780,15.6,other,1920.0,1080.0,NO,NO
1781,S1781,15.0,other,1280.0,800.0,NO,NO
1782,S1782,14.0,other,1920.0,1080.0,NO,NO
1783,S1783,11.6,black,1366.0,768.0,NO,YES
1784,S1784,15.6,black,3840.0,2160.0,NO,NO
1785,S1785,13.3,red,3840.0,2160.0,NO,YES
1786,S1786,15.6,black,1920.0,1080.0,NO,NO
1787,S1787,13.5,silver,2256.0,1504.0,NO,NO
1788,S1788,13.4,blue,1920.0,1200.0,YES,YES
1789,S1789,14.0,black,1366.0,768.0,NO,NO
1790,S1790,14.0,other,1920.0,1080.0,NO,YES
1791,S1791,11.6,other,1366.0,768.0,NO,NO
1792,S1792,14.0,silver,1920.0,1080.0,NO,YES
1793,S1793,15.6,other,1920.0,1080.0,NO,NO
1794,S1794,13.3,black,1920.0,1080.0,YES,YES
1795,S1795,14.0,gold,1920.0,1080.0,NO,YES
1796,S1796,15.6,gray,1920.0,1080.0,NO,YES
1797,S1797,14.0,silver,1366.0,768.0,NO,YES
1798,S1798,14.0,other,1280.0,720.0,NO,YES
1799,S1799,15.6,black,1920.0,1080.0,NO,YES
1800,S1800,14.0,black,1366.0,768.0,NO,NO
1801,S1801,11.6,other,1366.0,768.0,NO,YES
1802,S1802,14.0,silver,1920.0,1080.0,NO,NO
1803,S1803,13.0,black,2880.0,1920.0,YES,YES
1804,S1804,15.6,other,1366.0,768.0,NO,YES
1805,S1805,14.0,other,1920.0,1080.0,NO,YES
1806,S1806,14.0,black,1920.0,1080.0,NO,NO
1807,S1807,14.0,silver,1920.0,1080.0,NO,YES
1808,S1808,11.6,black,1366.0,768.0,NO,YES
1809,S1809,14.0,black,1366.0,768.0,NO,YES
1810,S1810,14.0,other,1600.0,900.0,NO,YES
1811,S1811,13.5,other,2256.0,1504.0,NO,YES
1812,S1812,15.0,other,1920.0,1080.0,NO,YES
1813,S1813,14.0,black,1366.0,768.0,YES,YES
1814,S1814,17.3,silver,1920.0,1080.0,NO,YES
1815,S1815,14.1,black,1920.0,1080.0,NO,YES
1816,S1816,15.6,silver,1920.0,1200.0,NO,NO
1817,S1817,15.6,other,1366.0,768.0,NO,NO
1818,S1818,14.0,blue,1366.0,768.0,NO,YES
1819,S1819,8.43,other,1920.0,1080.0,NO,YES
1820,S1820,13.3,gray,1920.0,1080.0,NO,NO
1821,S1821,13.3,other,1920.0,1080.0,NO,NO
1822,S1822,11.6,other,1920.0,1080.0,NO,NO
1823,S1823,14.0,black,1920.0,1200.0,NO,NO
1824,S1824,10.5,silver,1920.0,1280.0,NO,NO
1825,S1825,12.0,other,2160.0,1440.0,NO,YES
1826,S1826,13.0,black,1920.0,1080.0,NO,NO
1827,S1827,15.6,black,1920.0,1080.0,NO,YES
1828,S1828,15.6,silver,1920.0,1080.0,NO,YES
1829,S1829,14.0,other,1920.0,1080.0,NO,YES
1830,S1830,15.6,black,1920.0,1080.0,NO,NO
1831,S1831,8.43,other,1920.0,1080.0,YES,YES
1832,S1832,15.0,black,1920.0,1080.0,NO,NO
1833,S1833,14.0,black,1920.0,1080.0,NO,NO
1834,S1834,15.6,black,3840.0,2400.0,NO,NO
1835,S1835,11.6,gray,1366.0,768.0,NO,YES
1836,S1836,14.0,black,1920.0,1080.0,YES,YES
1837,S1837,15.6,other,1920.0,1080.0,NO,YES
1838,S1838,14.0,silver,1920.0,1080.0,NO,YES
1839,S1839,17.3,black,1920.0,1080.0,NO,YES
1840,S1840,14.0,silver,1920.0,1080.0,YES,NO
1841,S1841,14.0,black,1366.0,768.0,YES,YES
1842,S1842,15.0,silver,1600.0,900.0,NO,YES
1843,S1843,14.0,black,1920.0,1080.0,YES,NO
1844,S1844,14.0,black,1920.0,1080.0,NO,YES
1845,S1845,14.0,black,1920.0,1080.0,NO,YES
1846,S1846,14.0,other,1920.0,1080.0,NO,YES
1847,S1847,15.6,black,3840.0,2160.0,NO,NO
1848,S1848,14.0,black,1920.0,1080.0,NO,YES
1849,S1849,14.0,black,1920.0,1080.0,NO,YES
1850,S1850,14.0,silver,1920.0,1080.0,NO,NO
1851,S1851,14.0,other,1600.0,900.0,NO,YES
1852,S1852,11.6,black,1366.0,768.0,YES,YES
1853,S1853,15.6,silver,1920.0,1080.0,NO,YES
1854,S1854,10.0,multicolor,1920.0,1080.0,NO,NO
1855,S1855,14.0,gray,1920.0,1080.0,NO,NO
1856,S1856,8.43,other,1920.0,1080.0,NO,NO
1857,S1857,11.6,other,1920.0,1080.0,NO,NO
1858,S1858,14.0,other,1920.0,1080.0,NO,NO
1859,S1859,15.6,gray,1920.0,1080.0,NO,NO
1860,S1860,13.3,other,1920.0,1080.0,NO,YES
1861,S1861,14.0,silver,1920.0,1080.0,NO,NO
1862,S1862,11.6,black,1366.0,768.0,NO,YES
1863,S1863,14.1,silver,1920.0,1080.0,NO,NO
1864,S1864,14.0,other,1920.0,1080.0,NO,NO
1865,S1865,15.6,silver,1920.0,1080.0,NO,YES
1866,S1866,14.0,white,1366.0,768.0,NO,YES
1867,S1867,13.3,other,1920.0,1080.0,NO,NO
1868,S1868,11.6,black,1920.0,1080.0,NO,YES
1869,S1869,17.3,silver,1600.0,900.0,NO,NO
1870,S1870,17.3,black,1600.0,900.0,NO,YES
1871,S1871,8.43,other,1920.0,1080.0,NO,YES
1872,S1872,14.0,black,1920.0,1080.0,NO,NO
1873,S1873,8.43,other,1920.0,1080.0,NO,NO
1874,S1874,8.43,other,1920.0,1080.0,NO,NO
1875,S1875,14.0,gray,1920.0,1080.0,NO,NO
1876,S1876,11.6,other,1920.0,1080.0,NO,YES
1877,S1877,11.6,black,1366.0,768.0,NO,NO
1878,S1878,14.0,gray,1920.0,1200.0,NO,YES
1879,S1879,16.0,black,1920.0,1200.0,NO,YES
1880,S1880,14.0,black,1366.0,768.0,NO,YES
1881,S1881,14.0,silver,1024.0,768.0,NO,YES
1882,S1882,8.43,other,1920.0,1080.0,NO,NO
1883,S1883,14.0,silver,1920.0,1080.0,NO,NO
1884,S1884,14.0,black,1920.0,1080.0,NO,YES
1885,S1885,15.6,black,1920.0,1080.0,NO,YES
1886,S1886,11.6,black,1366.0,768.0,YES,YES
1887,S1887,14.0,other,1920.0,1080.0,NO,YES
1888,S1888,13.0,other,1920.0,1080.0,NO,NO
1889,S1889,11.6,black,1366.0,768.0,NO,NO
1890,S1890,17.3,silver,1920.0,1080.0,NO,NO
1891,S1891,14.0,grey,1920.0,1080.0,NO,YES
1892,S1892,15.6,black,1366.0,768.0,NO,NO
1893,S1893,14.0,other,1920.0,1080.0,NO,YES
1894,S1894,8.43,black,1920.0,1080.0,NO,NO
1895,S1895,12.5,black,1366.0,768.0,NO,YES
1896,S1896,12.1,other,1920.0,1080.0,NO,YES
1897,S1897,17.0,other,1920.0,1080.0,NO,NO
1898,S1898,14.0,gray,1920.0,1080.0,NO,NO
1899,S1899,17.3,silver,1920.0,1080.0,NO,NO
1900,S1900,15.6,silver,1920.0,1080.0,NO,YES
1901,S1901,14.0,black,1920.0,1080.0,NO,YES
1902,S1902,15.0,gray,1920.0,1080.0,NO,YES
1903,S1903,8.43,other,1920.0,1080.0,NO,NO
1904,S1904,8.43,other,1920.0,1080.0,NO,NO
1905,S1905,14.0,black,1920.0,1080.0,NO,NO
1906,S1906,16.0,silver,1920.0,1080.0,NO,YES
1907,S1907,13.0,black,1920.0,1080.0,NO,YES
1908,S1908,13.3,other,1920.0,1080.0,NO,NO
1909,S1909,11.6,blue,1920.0,1080.0,NO,NO
1910,S1910,12.5,other,1920.0,1080.0,NO,NO
1911,S1911,15.0,other,1920.0,1080.0,NO,NO
1912,S1912,11.6,black,1366.0,768.0,NO,NO
1913,S1913,13.3,gray,1920.0,1080.0,NO,YES
1914,S1914,13.3,gray,1920.0,1200.0,NO,NO
1915,S1915,14.0,other,1920.0,1080.0,NO,YES
1916,S1916,11.6,black,1366.0,768.0,NO,NO
1917,S1917,15.6,other,1920.0,1080.0,YES,YES
1918,S1918,8.43,other,1920.0,1080.0,NO,NO
1919,S1919,12.5,other,1920.0,1080.0,NO,NO
1920,S1920,14.0,silver,1920.0,1080.0,NO,NO
1921,S1921,11.6,other,1920.0,1080.0,YES,YES
1922,S1922,11.6,black,1366.0,768.0,NO,NO
1923,S1923,14.0,black,1366.0,768.0,NO,YES
1924,S1924,15.6,black,1920.0,1080.0,NO,YES
1925,S1925,15.6,black,1920.0,1080.0,NO,NO
1926,S1926,11.6,black,1920.0,1080.0,NO,NO
1927,S1927,14.0,black,1920.0,1080.0,NO,NO
1928,S1928,17.3,silver,1920.0,1080.0,NO,YES
1929,S1929,14.1,black,1366.0,768.0,NO,YES
1930,S1930,14.0,other,1920.0,1080.0,YES,YES
1931,S1931,17.0,silver,1920.0,1080.0,NO,NO
1932,S1932,15.0,silver,1920.0,1080.0,NO,YES
1933,S1933,11.6,other,1920.0,1080.0,NO,NO
1934,S1934,17.0,other,1920.0,1080.0,NO,NO
1935,S1935,15.6,other,1920.0,1080.0,NO,NO
1936,S1936,15.6,black,1366.0,768.0,NO,NO
1937,S1937,8.43,other,1920.0,1080.0,NO,YES
1938,S1938,16.0,silver,1920.0,1200.0,NO,NO
1939,S1939,11.6,black,1366.0,768.0,NO,YES
1940,S1940,13.0,other,1920.0,1080.0,NO,NO
1941,S1941,11.6,black,1366.0,768.0,NO,NO
1942,S1942,11.6,black,1366.0,768.0,YES,YES
1943,S1943,13.3,other,1920.0,1080.0,NO,YES
1944,S1944,13.5,other,2256.0,1504.0,NO,NO
1945,S1945,17.3,gray,1600.0,900.0,NO,NO
1946,S1946,14.0,other,1920.0,1080.0,NO,YES
1947,S1947,14.0,white,1366.0,768.0,NO,NO
1948,S1948,15.6,black,1920.0,1080.0,NO,YES
1949,S1949,14.0,silver,1920.0,1080.0,NO,NO
1950,S1950,15.6,black,1920.0,1080.0,NO,NO
1951,S1951,14.0,black,1920.0,1080.0,YES,YES
1952,S1952,15.6,silver,1366.0,768.0,NO,YES
1953,S1953,12.0,grey,1920.0,1080.0,NO,YES
1954,S1954,11.6,black,1366.0,768.0,NO,NO
1955,S1955,13.3,black,1920.0,1080.0,YES,YES
1956,S1956,12.5,other,1920.0,1080.0,NO,NO
1957,S1957,11.6,yellow,1920.0,1080.0,NO,NO
1958,S1958,14.0,orange,1920.0,1080.0,NO,NO
1959,S1959,15.6,silver,1920.0,1080.0,NO,NO
1960,S1960,14.0,other,1920.0,1080.0,NO,YES
1961,S1961,14.0,other,1920.0,1080.0,NO,NO
1962,S1962,12.3,silver,1920.0,1080.0,NO,NO
1963,S1963,13.3,silver,1920.0,1200.0,NO,YES
1964,S1964,11.6,black,1366.0,768.0,NO,YES
1965,S1965,13.3,black,1920.0,1080.0,NO,NO
1966,S1966,15.6,silver,3840.0,2400.0,NO,YES
1967,S1967,11.6,gray,1366.0,768.0,NO,YES
1968,S1968,8.43,black,1366.0,768.0,NO,YES
1969,S1969,13.3,other,1920.0,1080.0,NO,NO
1970,S1970,14.0,black,1920.0,1080.0,NO,NO
1971,S1971,14.0,other,1920.0,1080.0,NO,NO
1972,S1972,15.0,other,1920.0,1080.0,NO,YES
1973,S1973,14.0,other,1920.0,1080.0,NO,YES
1974,S1974,14.0,other,1920.0,1080.0,NO,NO
1975,S1975,15.6,black,1366.0,768.0,YES,YES
1976,S1976,13.0,gray,1920.0,1080.0,NO,YES
1977,S1977,15.6,black,1920.0,1080.0,NO,YES
1978,S1978,16.0,silver,2560.0,1600.0,NO,NO
1979,S1979,14.0,other,1920.0,1080.0,NO,NO
1980,S1980,15.6,black,1920.0,1080.0,NO,NO
1981,S1981,15.4,other,1920.0,1080.0,NO,YES
1982,S1982,8.43,other,1920.0,1080.0,NO,NO
1983,S1983,14.1,black,1920.0,1080.0,NO,NO
1984,S1984,14.0,black,1920.0,1080.0,NO,NO
1985,S1985,14.0,black,1920.0,1080.0,NO,NO
1986,S1986,13.5,silver,1920.0,1080.0,NO,NO
1987,S1987,14.0,black,1920.0,1080.0,NO,NO
1988,S1988,15.6,black,1920.0,1080.0,NO,NO
1989,S1989,11.6,black,1366.0,768.0,NO,YES
1990,S1990,13.0,multicolor,3200.0,1800.0,NO,YES
1991,S1991,13.3,other,1920.0,1080.0,NO,NO
1992,S1992,12.1,other,1920.0,1200.0,NO,NO
1993,S1993,14.0,gray,1366.0,768.0,NO,NO
1994,S1994,14.0,other,1600.0,900.0,NO,YES
1995,S1995,14.0,black,1920.0,1200.0,YES,YES
1996,S1996,11.6,black,1920.0,1080.0,NO,NO
1997,S1997,15.6,black,1920.0,1080.0,NO,NO
1998,S1998,8.43,other,1920.0,1080.0,NO,YES
1999,S1999,13.3,gray,3840.0,2160.0,NO,NO
2000,S2000,14.0,black,1920.0,1080.0,NO,NO
2001,S2001,16.0,black,1920.0,1080.0,NO,YES
2002,S2002,15.6,brown,1366.0,768.0,NO,NO
2003,S2003,14.0,black,1920.0,1080.0,NO,YES
2004,S2004,15.6,black,1920.0,1080.0,NO,NO
2005,S2005,15.6,red,1366.0,768.0,NO,YES
2006,S2006,15.5,other,1920.0,1080.0,NO,YES
