,PROCESSOR_ID,PROCESSOR,PROCESSOR_SPEED,PROCESSOR_SPEED_UNIT
150,P150,undefined,0.0,unknown
151,P151,not applicable,0.0,unknown
152,P152,undefined,0.0,unknown
153,P153,intel i5,2.5,GHz
154,P154,undefined,0.0,unknown
155,P155,undefined,0.0,unknown
156,P156,undefined,0.0,unknown
157,P157,intel core i3 4th generation,3.0,GHz
158,P158,intel core i5-2520m,2.5,GHz
159,P159,intel core i5 6th generation,2.8,GHz
160,P160,undefined,0.0,unknown
161,P161,undefined,0.0,unknown
162,P162,intel core i5 4th generation,2.6,GHz
163,P163,undefined,0.0,unknown
164,P164,undefined,0.0,unknown
165,P165,undefined,0.0,unknown
166,P166,undefined,0.0,unknown
167,P167,undefined,0.0,unknown
168,P168,intel core i5 6th generation,2.3,GHz
169,P169,undefined,0.0,unknown
170,P170,undefined,0.0,unknown
171,P171,undefined,0.0,unknown
172,P172,undefined,0.0,unknown
173,P173,undefined,0.0,unknown
174,P174,undefined,0.0,unknown
175,P175,undefined,0.0,unknown
176,P176,not applicable,0.0,unknown
177,P177,undefined,0.0,unknown
178,P178,undefined,0.0,unknown
179,P179,undefined,0.0,unknown
180,P180,undefined,0.0,unknown
181,P181,undefined,0.0,unknown
182,P182,undefined,0.0,unknown
183,P183,undefined,0.0,unknown
184,P184,undefined,0.0,unknown
185,P185,undefined,0.0,unknown
186,P186,not applicable,0.0,unknown
187,P187,undefined,0.0,unknown
188,P188,not applicable,0.0,unknown
189,P189,undefined,0.0,unknown
190,P190,undefined,0.0,unknown
191,P191,intel core i5 4th generation,2.7,GHz
192,P192,undefined,0.0,unknown
193,P193,intel core i3 7th generation,3.0,GHz
194,P194,undefined,0.0,unknown
195,P195,undefined,0.0,unknown
196,P196,intel core i5 4th generation,2.6,GHz
197,P197,intel i5-5300u,2.3,GHz
198,P198,8365u,1.6,GHz
199,P199,intel core i5 6th generation,3.0,GHz
200,P200,undefined,0.0,unknown
201,P201,intel core i3 6th generation,3.0,GHz
202,P202,undefined,0.0,unknown
203,P203,undefined,0.0,unknown
204,P204,undefined,0.0,unknown
205,P205,not applicable,0.0,unknown
206,P206,undefined,0.0,unknown
207,P207,undefined,0.0,unknown
208,P208,undefined,0.0,unknown
209,P209,undefined,0.0,unknown
210,P210,undefined,0.0,unknown
211,P211,undefined,0.0,unknown
212,P212,undefined,0.0,unknown
213,P213,undefined,0.0,unknown
214,P214,undefined,0.0,unknown
215,P215,undefined,0.0,unknown
216,P216,undefined,0.0,unknown
217,P217,undefined,0.0,unknown
218,P218,undefined,0.0,unknown
219,P219,undefined,0.0,unknown
220,P220,undefined,0.0,unknown
221,P221,undefined,0.0,unknown
222,P222,undefined,0.0,unknown
223,P223,intel core i5 4th generation,0.0,unknown
224,P224,undefined,0.0,unknown
225,P225,undefined,0.0,unknown
226,P226,undefined,0.0,unknown
227,P227,undefined,0.0,unknown
228,P228,intel core i5 6th generation,0.0,unknown
229,P229,undefined,0.0,unknown
230,P230,intel core i3 7th generation,2.4,GHz
231,P231,not applicable,0.0,unknown
232,P232,undefined,0.0,unknown
233,P233,undefined,0.0,unknown
234,P234,intel core i5 4th generation,2.6,GHz
235,P235,undefined,0.0,unknown
236,P236,undefined,0.0,unknown
237,P237,undefined,0.0,unknown
238,P238,undefined,0.0,unknown
239,P239,undefined,0.0,unknown
240,P240,undefined,0.0,unknown
241,P241,undefined,0.0,unknown
242,P242,undefined,0.0,unknown
243,P243,undefined,0.0,unknown
244,P244,intel celeron,0.0,unknown
245,P245,undefined,0.0,unknown
246,P246,undefined,0.0,unknown
247,P247,undefined,0.0,unknown
248,P248,intel core i5 5th generation,2.7,GHz
249,P249,intel core i5 4th generation,2.6,GHz
250,P250,undefined,0.0,unknown
251,P251,intel core i3 7th generation,3.0,GHz
252,P252,undefined,0.0,unknown
253,P253,not applicable,0.0,unknown
254,P254,undefined,0.0,unknown
255,P255,intel celeron,0.0,unknown
256,P256,intel core i5 6th generation,3.0,GHz
257,P257,intel core i5 6th generation,3.0,GHz
258,P258,intel core i5 4th generation,0.0,unknown
259,P259,undefined,0.0,unknown
260,P260,undefined,0.0,unknown
261,P261,undefined,0.0,unknown
262,P262,undefined,0.0,unknown
263,P263,undefined,0.0,unknown
264,P264,undefined,0.0,unknown
265,P265,intel core i5 4th generation,2.6,GHz
266,P266,intel core i3 4th generation,3.0,GHz
267,P267,intel core i5 6th generation,2.3,GHz
268,P268,intel core i5 4th generation,3.0,GHz
269,P269,undefined,0.0,unknown
270,P270,undefined,0.0,unknown
271,P271,undefined,0.0,unknown
272,P272,undefined,0.0,unknown
273,P273,undefined,0.0,unknown
274,P274,intel core i5 4th generation,2.6,GHz
275,P275,undefined,0.0,unknown
276,P276,undefined,0.0,unknown
277,P277,undefined,0.0,unknown
278,P278,undefined,0.0,unknown
279,P279,undefined,0.0,unknown
280,P280,not applicable,0.0,unknown
281,P281,not applicable,0.0,unknown
282,P282,intel core i5 6th generation,2.8,GHz
283,P283,undefined,0.0,unknown
284,P284,intel core i5 4th generation,2.6,GHz
285,P285,undefined,0.0,unknown
286,P286,not applicable,0.0,unknown
287,P287,intel core i5 4th generation,2.6,GHz
288,P288,undefined,0.0,unknown
289,P289,undefined,0.0,unknown
290,P290,12th gen intel core i5-12450h,4.4,GHz
291,P291,undefined,0.0,unknown
292,P292,undefined,0.0,unknown
293,P293,undefined,0.0,unknown
294,P294,undefined,0.0,unknown
295,P295,undefined,0.0,unknown
296,P296,undefined,0.0,unknown
297,P297,undefined,0.0,unknown
298,P298,intel core i3 7th generation,2.4,GHz
299,P299,intel core i5 4th generation,2.6,GHz
300,P300,undefined,0.0,unknown
301,P301,undefined,0.0,unknown
302,P302,undefined,0.0,unknown
303,P303,undefined,0.0,unknown
304,P304,undefined,0.0,unknown
305,P305,undefined,0.0,unknown
306,P306,undefined,0.0,unknown
307,P307,pentium4,0.0,unknown
308,P308,undefined,0.0,unknown
309,P309,not applicable,0.0,unknown
310,P310,undefined,0.0,unknown
311,P311,not applicable,0.0,unknown
312,P312,undefined,0.0,unknown
313,P313,undefined,0.0,unknown
314,P314,undefined,0.0,unknown
315,P315,intel core i3 4th generation,0.0,unknown
316,P316,undefined,0.0,unknown
317,P317,intel core i5 4th generation,0.0,unknown
318,P318,not applicable,0.0,unknown
319,P319,intel core i7 11th generation,0.0,unknown
320,P320,undefined,0.0,unknown
321,P321,undefined,0.0,unknown
322,P322,undefined,0.0,unknown
323,P323,undefined,0.0,unknown
324,P324,not applicable,0.0,unknown
325,P325,intel core i5 6th generation,2.8,GHz
326,P326,undefined,0.0,unknown
327,P327,undefined,0.0,unknown
328,P328,intel pentium,0.0,unknown
329,P329,undefined,0.0,unknown
330,P330,undefined,0.0,unknown
331,P331,intel core i5 3rd generation,3.0,GHz
332,P332,undefined,0.0,unknown
333,P333,undefined,0.0,unknown
334,P334,undefined,0.0,unknown
335,P335,intel core i5 3rd generation,3.1,GHz
336,P336,amd 3020e,0.0,unknown
337,P337,undefined,0.0,unknown
338,P338,intel core i5 6th generation,2.8,GHz
339,P339,intel core i5 4th generation,0.0,unknown
340,P340,undefined,0.0,unknown
341,P341,undefined,0.0,unknown
342,P342,intel core i5 6th generation,2.4,GHz
343,P343,undefined,0.0,unknown
344,P344,undefined,0.0,unknown
345,P345,8265u,1.6,GHz
346,P346,undefined,0.0,unknown
347,P347,undefined,0.0,unknown
348,P348,not applicable,0.0,unknown
349,P349,undefined,0.0,unknown
350,P350,not applicable,0.0,unknown
351,P351,not applicable,0.0,unknown
352,P352,not applicable,0.0,unknown
353,P353,undefined,0.0,unknown
354,P354,undefined,0.0,unknown
355,P355,undefined,0.0,unknown
356,P356,undefined,0.0,unknown
357,P357,undefined,0.0,unknown
358,P358,undefined,0.0,unknown
359,P359,intel core i3 4th generation,3.0,GHz
360,P360,undefined,0.0,unknown
361,P361,undefined,0.0,unknown
362,P362,undefined,0.0,unknown
363,P363,undefined,0.0,unknown
364,P364,intel core i5 7th generation,3.1,GHz
365,P365,undefined,0.0,unknown
366,P366,undefined,0.0,unknown
367,P367,undefined,0.0,unknown
368,P368,intel core i5 3rd generation,3.0,GHz
369,P369,intel core i5 4th generation,2.6,GHz
370,P370,intel core i5 4th generation,2.6,GHz
371,P371,not applicable,0.0,unknown
372,P372,undefined,0.0,unknown
373,P373,undefined,0.0,unknown
374,P374,undefined,0.0,unknown
375,P375,undefined,0.0,unknown
376,P376,undefined,0.0,unknown
377,P377,undefined,0.0,unknown
378,P378,undefined,0.0,unknown
379,P379,undefined,0.0,unknown
380,P380,undefined,0.0,unknown
381,P381,undefined,0.0,unknown
382,P382,inter core i7 8550u,1.8,GHz
383,P383,intel core i5 4th generation,2.6,GHz
384,P384,undefined,0.0,unknown
385,P385,undefined,0.0,unknown
386,P386,undefined,0.0,unknown
387,P387,intel core i5 â€‹â€‹12th generation,4.0,GHz
388,P388,intel core i5 5th generation,2.7,GHz
389,P389,undefined,0.0,unknown
390,P390,not applicable,0.0,unknown
391,P391,undefined,0.0,unknown
392,P392,undefined,0.0,unknown
393,P393,not applicable,0.0,unknown
394,P394,undefined,0.0,unknown
395,P395,undefined,0.0,unknown
396,P396,intel core i3 10th generation,3.4,GHz
397,P397,intel core i5 6th generation,2.3,GHz
398,P398,undefined,0.0,unknown
399,P399,undefined,0.0,unknown
